N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
81;La pena accessoria della sospensione dall'esercizio degli uffici direttivi delle persone giuridiche, ai sensi dell'art. 35 bis c.p., non può avere una durata:;inferiore a 15 giorni né superiore a due anni.;inferiore a 15 giorni né superiore ad un anno.;inferiore ad un anno  né superiore a tre anni.;inferiore ad un anno  né superiore a due anni.
82;La condanna per il delitto di usurpazione di funzioni pubbliche, previsto dall'art. 347 c.p., comporta la pena accessoria:;della pubblicazione della sentenza.;dell’interdizione dai pubblici uffici.;dell’interdizione legale.;dell’interdizione dai pubblici uffici o dell’interdizione legale.
83;In base all'art. 226 c.p., il ricovero in un riformatorio giudiziario del minore che sia delinquente per tendenza ha durata minima:;di tre anni.;in ogni caso, fino al raggiungimento della maggiore età.;di sei mesi, salvo casi particolari stabiliti dalla legge.;di un anno.
84;Nel caso di recidiva aggravata ai sensi dell'art. 99 c.p., il condannato a pena detentiva può essere ammesso alla liberazione condizionale se:;ha scontato almeno 4 anni di pena e non meno di tre quarti della pena inflittagli.;ha scontato almeno 30 mesi e, comunque, almeno la metà  della pena inflittagli, qualora il rimanente della pena non superi i 5 anni.;ha scontato almeno ventisei anni di pena.;ha scontato almeno 30 mesi o, comunque, almeno la metà della pena inflittagli, qualora il rimanente della pena non superi i 3 anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
85;Ai sensi delle disposizioni del codice penale, si estingue per prescrizione la pena dell’arresto per i recidivi:;in 5 anni nei casi di recidiva semplice, in 10 anni nelle ipotesi di recidiva aggravata.;sempre in 5 anni.;in 3 anni, salvo i casi in cui la legge disponga altrimenti.;in 3 anni nei casi di recidiva semplice, in 5 anni nelle ipotesi di recidiva aggravata.
86;Ai sensi del codice penale, il Pubblico Ufficiale dipendente del comune che riceve una retribuzione non dovuta  per un atto d’ufficio da lui già compiuto commette il reato  di:;corruzione propria per l’esercizio della funzione.;corruzione per atto contrario ai doveri d'ufficio.;concussione.;nessun reato,  commette, eventualmente, un illecito amministrativo o disciplinare.
87;Quando un reato  è il presupposto di un altro reato,  secondo l'art. 170 c.p., la causa che estingue presupposto...;non si estende all'altro reato.;estingue entrambi i reati.;non si estende, salvo che non siano puniti con pene della stessa tipologia.;estingue anche l'altro reato se risulta offeso lo stesso bene giuridico.
88;In base alle norme  del codice penale, la prescrizione estingue i reati per i quali la legge prevede la pena dell’ergastolo?;No, anche se l’ergastolo è effetto dell’applicazione di circostanze aggravanti.;Si, in 30 anni.;Si, in 24 anni.;Si, in 21 anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
89;Ai sensi dell'art. 112 c.p., nell'ambito del concorso di persone nel reato,  a chi si sia avvalso di una persona non imputabile, nella commissione di un delitto per il quale è previsto l'arresto in flagranza, si applica:;la pena aumentata fino alla metà.;la pena aumentata fino ad un terzo.;la pena aumentata fino ad un terzo solo se per il reato commesso è prevista una pena non inferiore a cinque anni di reclusione.;la pena aumentata fino al triplo.
90;Chi fa in qualsiasi modo scomparire da biglietti di pubbliche imprese di trasporto i segni appostivi per indicare l’uso già fattone, secondo le previsioni dell'art. 466 c.p.:;è soggetto ad una sanzione amministrativa, qualora ne  faccia uso o lasci che altri ne faccia uso.;è soggetto alla pena dell’ammenda, qualora ne faccia uso o lasci che altri ne faccia uso, altrimenti è soggetto ad una sanzione amministrativa.;non è soggetto ad alcuna sanzione se le cose sono state ricevute in buona fede.;è soggetto ad una sanzione amministrativa, se ha ricevuto le cose in buona fede, altrimenti risponde di una contravvenzione penale.
91;Conformemente alle norme  del codice penale, l'errore su una legge diversa dalla legge penale esclude la punibilità:;se ha cagionato un errore sul fatto che costituisce reato.;se ha cagionato un errore sulla stessa legge penale.;solo nelle ipotesi di delitto doloso.;solo nelle ipotesi di delitto colposo.
92;Per la cauzione di buona condotta, prevista dall'art. 237 c.p., in luogo del deposito presso la Cassa delle Ammende, è ammessa:;la prestazione di una garanzia mediante ipoteca o fideiussione solidale.;qualsiasi altra prestazione di garanzia decisa dal Giudice.;la sola prestazione di una garanzia mediante ipoteca di terzo.;la sola prestazione di una garanzia mediante fideiussione solidale di terzo.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
93;La durata minima della misura di sicurezza del divieto di soggiorno in una o più province, ai sensi dell'art. 233 c.p., non può essere:;inferiore ad un anno.;inferiore a sei mesi.;inferiore a diciotto mesi;inferiore a due anni.
94;L'obbligo per il condannato del rimborso all'erario dello Stato delle spese per il suo mantenimento negli stabilimenti di pena, in base al codice penale...;non si estende alla persona civilmente responsabile e si trasmette agli eredi del condannato.;si estende alla persona civilmente responsabile e si trasmette agli eredi del condannato solo per reati espressamente previsti dalla legge.;si estende al civilmente obbligato ma non si trasmette agli eredi.;si trasmette agli eredi ma non si estende al civilmente obbligato.
95;Il delitto di concussione commesso del dipendente pubblico nell’esercizio delle sue funzioni, secondo il codice penale, si concretizza:;soltanto se il soggetto passivo soggiace alla costrizione del Pubblico Ufficiale  e non anche all’induzione per persuasione o all’induzione per  frode.;se il soggetto passivo soggiace alla costrizione o all’induzione per persuasione o all’induzione per frode da parte  del Pubblico Ufficiale.;soltanto se il soggetto passivo è consapevole che la prestazione cui lo costringe il Pubblico Ufficiale è illegittima.;soltanto se il soggetto passivo soggiace alla costrizione o all’induzione per persuasione da parte del Pubblico Ufficiale e non anche all’induzione per frode.
96;La vendita o l’acquisto di cose con impronte contraffatte di una pubblica autenticazione o certificazione, ai sensi dell'art. 470 c.p.:;costituiscono entrambe delitto.;la vendita costituisce delitto, l’acquisto costituisce illecito amministrativo.;la vendita costituisce delitto, l’acquisto costituisce contravvenzione penale.;costituiscono entrambe contravvenzioni penali.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
97;Per quale dei seguenti delitti commessi dal dipendente pubblico, si applica in ogni caso la “Riparazione pecuniaria”, prevista dall’art. 322 quater c.p.?;Peculato, concussione, corruzione, induzione indebita a dare o promettere utilità.;Peculato, concussione, corruzione, indebita percezione di erogazioni a danno dello Stato.;Peculato, concussione, corruzione per l’esercizio delle funzioni, malversazione ai danni dello Stato.;Peculato, corruzione per un atto contrario ai doveri d’ufficio, indebita percezione di erogazioni a danno dello Stato, induzione indebita a dare  o promettere utilità.
98;Il diritto di querela, vista la disposizione dell'art. 124 c.p., non può essere esercitato:;decorsi tre mesi dal giorno della notizia del fatto che costituisce reato, salvo che la legge disponga altrimenti.;decorsi 90 giorni dalla notizia del fatto che costituisce reato,  salvo che la legge disponga altrimenti.;decorsi tre mesi dal giorno in cui si è verificato il fatto che costituisce reato.;decorsi 90 giorni dal giorno in cui si è verificato il fatto che costituisce reato,  in ogni caso.
99;È applicabile, ai sensi del codice penale, una misura di sicurezza nei confronti di coloro che si accordino allo scopo di commettere un reato  e questo non sia commesso?;Si, ma solo se l’accordo riguarda la commissione di un delitto.;Si, ma solo se l’accordo riguarda taluni reati espressamente indicati dalla legge.;No, le misure di sicurezza sono applicabili solo a coloro che commettono un reato.;No, salvo che l’accordo si verifichi fra tre o più persone.
100;Chi ha determinato a commettere un reato  una persona non punibile a causa di una condizione o qualità personale, secondo le previsioni dell'art. 111 c.p.:;risponde del reato da questi commesso e la pena è aumentata.;non è punibile, ma può essere sottoposto ad una misura di sicurezza.;risponde del reato  in concorso con l’autore materiale, ma con pena aumentata.;risponde del reato  in concorso con l’autore materiale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
101;Per i delinquenti professionali, viste le norme  del codice penale, la riabilitazione:;può essere concessa quando siano decorsi 10 anni dal giorno in cui sia stato revocato l’ordine di assegnazione ad una colonia agricola o ad una casa di lavoro.;non può mai essere concessa, salvo che la legge disponga altrimenti.;può essere concessa quando siano decorsi 5 anni dal giorno in cui la pena principale sia stata eseguita o si sia in altro modo estinta.;può essere concessa quando siano decorsi 5 anni, per le contravvenzioni, e 10 anni per i delitti, dal giorno in cui sia stato revocato l’ordine di assegnazione ad una colonia agricola o ad una casa di lavoro.
102;In conformità alle norme  del codice penale, per l’oltraggio ad un pubblico impiegato e per l’oltraggio ad un Pubblico Ufficiale è prevista la stessa pena?;No, il reato di oltraggio a pubblico impiegato è stato abrogato.;No, la pena per l’oltraggio ad un pubblico impiegato è diminuita di un terzo.;No, la pena per l’oltraggio ad un pubblico impiegato è diminuita della metà.;No, la pena per l’oltraggio ad un pubblico impiegato è diminuita fino ad un terzo.
103;Il reato  di violenza a pubblico ufficiale (art. 336 c.p.) si differenzia da quello di resistenza a pubblico ufficiale (art. 337 c.p.) perché:;la violenza e la minaccia tendono a condizionare o ad impedire un'azione futura.;non è richiesto il dolo specifico.;la violenza e la minaccia non servono nella resistenza.;il primo è reato  di danno, il secondo di pericolo.
104;Quale, tra le seguenti ipotesi previste dal codice penale, costituisce aggravante specifica del delitto di corruzione per un atto contrario ai doveri d’ufficio?;Se il fatto ha per  oggetto la stipulazione di contratti nei quali sia interessata l’amministrazione alla quale il Pubblico Ufficiale appartiene.;Se  il fatto ha per oggetto la stipulazione di contratti nei quali sia interessata una qualsiasi pubblica amministrazione.;Se  il fatto ha per oggetto l’erogazione di contributi, sovvenzioni o finanziamenti da parte  delle Comunità Europee.;Se  l’oggetto della corruzione determina, per l’amministrazione cui appartiene il Pubblico Ufficiale, un danno patrimoniale di rilevante entità.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
105;Quale delle seguenti ipotesi, in considerazione delle disposizioni del codice penale, configura l’aberratio delicti?;Programmare un delitto che per  errore nell’uso dei mezzi di esecuzione cagiona un evento dannoso diverso da quello voluto.;Compiere atti idonei a commettere un delitto ma impedire volontariamente il verificarsi dell’evento.;Il verificarsi di un reato  che viene posto a carico dell’agente indipendentemente dalla condotta di questi.;Programmare un delitto che,  per errore  nell’uso dei mezzi di esecuzione, cagiona offesa ad una persona diversa da quella che si voleva offendere.
106;Quale, tra le seguenti ipotesi previste dalle norme  del codice penale, non costituisce circostanza aggravante comune?;L’aver agito in stato d’ira determinato da  un fatto ingiusto altrui.;L’avere profittato di circostanze di luogo tali da ostacolare la privata difesa.;L’aver aggravato o tentato di aggravare le conseguenze del delitto commesso.;L’aver commesso il fatto con violazione dei doveri inerenti alla qualità di ministro di un culto.
107;L’autore di un reato  determinato dall’altrui minaccia può invocare, in conformità all'art. 54 c.p.:;lo stato di necessità in quanto oggetto di costringimento psichico.;lo stato di necessità in quanto oggetto di costringimento fisico.;una circostanza attenuante.;l'esercizio di un diritto.
108;Fermo  restando quanto previsto dall'art. 29 c.p., la condanna alla pena della reclusione per il delitto di concussione importa l'estinzione del rapporto  di lavoro nei confronti del dipendente di amministrazioni od enti pubblici o di enti a prevalente partecipazione pubblica:;se la pena non è inferiore a due anni.;se la pena non è inferiore a tre anni, ma solo nei confronti del dipendente di amministrazioni pubbliche e non anche degli altri enti.;se la pena non è inferiore a tre anni.;se la pena non è inferiore a cinque anni, ma solo nei confronti del dipendente di amministrazioni pubbliche e non anche degli altri enti.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
109;Nell’ipotesi di concorso formale eterogeneo di reato  commesso da persona che non sia recidiva, in base all'art. 81 c.p. si applica:;la pena che dovrebbe infliggersi per  il reato più grave aumentata sino al triplo.;la pena che dovrebbe infliggersi per il reato  più grave  aumentata sino ad un terzo.;la pena che dovrebbe infliggersi per il reato  più grave  aumentata sino a due terzi.;la somma delle pene previste per i singoli reati, aumentata fino ad un terzo.
110;Rientra tra le pene accessorie previste per le contravvenzioni, secondo l'art. 19 c.p.:;la pubblicazione della sentenza di condanna.;l’incapacità di contrattare con la pubblica amministrazione.;la sospensione dall’esercizio della responsabilità dei genitori.;l’interdizione da una professione o di un’arte.
111;In caso di condanna a pena detentiva congiunta a pena pecuniaria, in conformità alle norme  previste dal codice penale, il Giudice può ordinare la non menzione della condanna nel certificato del casellario giudiziale:;se la pena detentiva non supera i due anni e la pena pecuniaria, ragguagliata a norma di legge e cumulata con la pena detentiva, priverebbe complessivamente il condannato a pena restrittiva della libertà personale per  un tempo non superiore a 30 mesi.;se la pena pecuniaria, ragguagliata a norma  di legge e cumulata con la pena detentiva, priverebbe complessivamente il condannato a pena restrittiva della libertà personale per un tempo non superiore a 2 anni.;se la pena detentiva non supera i 18 mesi e la pena pecuniaria, ragguagliata a norma  di legge e cumulata con la pena detentiva, priverebbe complessivamente il condannato a pena restrittiva della libertà personale per un tempo  non superiore a 2 anni.;se la pena pecuniaria, ragguagliata a norma  di legge e cumulata con la pena detentiva, priverebbe complessivamente il condannato a pena restrittiva della libertà personale per un tempo  non superiore a 3 anni.
112;Alla pena è sempre aggiunta, in virtù delle previsioni dell'art. 234 c.p., la misura di sicurezza del divieto di frequentare osterie e pubblici spacci di bevande alcoliche:;quando si tratta di condannati per ubriachezza abituale o per  reati commessi in stato di ubriachezza, sempre che questa sia abituale.;solo quando si tratta di condannati per ubriachezza abituale.;solo per reati commessi in stato di ubriachezza, sempre che questa sia abituale.;solo per reati commessi in stato di ubriachezza, anche se questa non sia abituale
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
113;Nell'ambito del codice penale, il concorso di cause simultanee esclude il rapporto  di causalità tra la condotta e l'evento?;No, anche se indipendenti dalla condotta, attiva od omissiva, del colpevole.;Si, ma solo se indipendenti dalla condotta attiva e non anche omissiva del colpevole.;Si, ma solo se indipendenti dalla condotta omissiva e non anche attiva del colpevole.;Si, ma solo se indipendenti dalla condotta, attiva od omissiva, del colpevole.
114;Il vizio parziale di mente, in virtù dell'art. 89 c.p.:;diminuisce la pena, se l’infermità è tale  da scemare grandemente, senza escluderla, la capacità d’intendere o di volere.;esclude l’imputabilità, se l’infermità è tale da scemare grandemente la capacità d’intendere o di volere.;non incide sulla quantificazione della pena.;è sempre valutato discrezionalmente dal Giudice.
115;In conformità all'art. 234 c.p., il divieto di frequentare osterie e pubblici spacci di bevande alcoliche è:;una misura di sicurezza.;una misura di prevenzione.;una misura cautelare.;una pena accessoria.
116;Quando una persona ha commesso più fatti per i quali siano applicabili, secondo le norme  del codice penale, più misure di sicurezza della medesima specie:;è sempre ordinata una sola misura di sicurezza, anche se ha commessi i fatti in tempi diversi.;il giudice valuta complessivamente la pericolosità della persona, e, in relazione ad essa, applica una o più misure di sicurezza.;è ordinata una sola misura di sicurezza, ma la durata minima è aumentata di un terzo.;è ordinata una sola misura di sicurezza solo se non ha commessi i fatti in tempi diversi-
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
117;Quando, per effetto dell’indulto, la pena dell’ergastolo è estinta, secondo le disposizioni del codice penale la pena detentiva temporanea inflitta per il reato concorrente:;è ridotta alla metà, se il condannato ha già interamente subito l’isolamento diurno.;è sempre eseguita per intero.;è anch’essa estinta, se il condannato ha già interamente subito l’isolamento diurno.;è ridotta alla metà,  in ogni caso.
118;Il reato  continuato, a norma dell'art. 81 c.p., può essere definito come:;una pluralità di reati commessi in esecuzione di un medesimo disegno criminoso.;una pluralità di reati commessi con una sola azione od omissione.;un reato  nel quale sia la condotta che l’evento perdurano per un apprezzabile lasso di tempo.;un insieme di reati per la cui sussistenza la legge richiede la reiterazione di più condotte identiche ed omogenee.
119;La durata della misura di sicurezza della cauzione di buona condotta, ex art. 237 c.p., decorre:;dal giorno in cui la cauzione fu prestata.;dal giorno in cui il Giudice dispone la misura.;dal giorno in cui è terminata l’esecuzione della pena principale applicata per il reato  commesso.;dal giorno successivo al versamento presso l’ente incaricato dell’esazione.
120;L'espulsione dello straniero dallo Stato,  quale misura di sicurezza personale non detentiva ai sensi dell'art. 215 c.p., viene ordinata:;dal Giudice.;dal Prefetto.;dal Ministro dell'Interno.;dal Questore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
121;Se  la legge del tempo  in cui deve eseguirsi una misura di sicurezza è diversa da quella vigente al momento in cui la misura è stata disposta, in virtù dell'art. 200 c.p. si applica:;la legge in vigore al momento dell’esecuzione.;la legge in vigore al momento in cui la misura è stata disposta.;la legge più favorevole al reo.;la legge in vigore al momento in cui il reo ha commesso il reato,  tranne che per le misure detentive per cui si applica quella più favorevole.
122;Nel concorso di una causa che estingue il reato  con una causa che estingue la pena, in base all'art. 183 c.p. prevale:;la causa che estingue il reato, anche se intervenuta successivamente.;la causa che estingue la pena, anche se è intervenuta successivamente.;sempre la causa che è intervenuta per prima.;sempre la causa che è intervenuta per prima, salvo le eccezioni previste dalla legge.
123;Ai sensi delle disposizioni del codice penale sull'estinzione della pena, sono cause di estinzione ella punibilità in concreto:;la riabilitazione.;la remissione di querela.;il perdono giudiziale per i minori degli anni 18.;l’oblazione.
124;La remissione di querela non produce effetto sulla base dell'art. 155 c.p.:;se il querelato l’ha espressamente o tacitamente ricusata.;solo se il querelato l’ha espressamente ricusata.;se non vi è il consenso del Pubblico Ministero.;se è proposta dopo tre mesi dal verificarsi del fatto che costituisce reato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
125;La condanna per il delitto di concussione, con riferimento all'art. 317 c.p., comporta:;l'interdizione perpetua dai pubblici uffici, l'interdizione temporanea dai pubblici uffici, nell'ipotesi di condanna ad una pena inferiore ai due anni, di durata inferiore a cinque anni e non superiore ai sette.;l'interdizione perpetua dai pubblici uffici, l'interdizione temporanea dai pubblici uffici non inferiore a un anno  né superiore a cinque anni in caso di reclusione non superiore ai diciotto mesi.;l'interdizione perpetua dai pubblici uffici, l'interdizione perpetua dai pubblici uffici nell'ipotesi di condanna ad una pena inferiore ai tre anni, di durata inferiore a tre anni e non superiore ai sette.;l'interdizione temporanea dai pubblici uffici non inferiore a un anno  né superiore a cinque anni.
126;Qual è, in base al codice penale, la conseguenza della capacità di intendere e di volere?;L’imputabilità.;La capacità di agire in giudizio.;La punibilità.;Il dolo.
127;In conformità all'art. 326 c.p., può commettere il reato  di utilizzazione dei segreti d'ufficio:;un Pubblico Ufficiale  o incaricato di pubblico servizio.;esclusivamente un Pubblico Ufficiale.;un Pubblico Ufficiale o un incaricato di pubblico servizio o un esercente un servizio di pubblica necessità.;chiunque.
128;Nella realizzazione di un’attività criminosa, secondo l'art. 81 c.p. il medesimo disegno criminoso rappresenta:;uno degli elementi costitutivi del reato continuato.;uno degli elementi di valutazione della gravità del reato.;una circostanza aggravante prevista solo per taluni reati.;un’aggravante della premeditazione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
129;Quale, tra quelle previste dall'art. 70 c.p., non costituisce una circostanza soggettiva del reato?;Le modalità dell’azione.;I rapporti fra il colpevole e l’offeso.;L’intensità del dolo.;Il grado  di colpa.
130;A norma  del Codice Penale, quale delle seguenti affermazioni è esatta?;Ai fini del calcolo della pena, le circostanze generiche sono sempre valutate come una sola circostanza.;Le attenuanti generiche sono tassativamente indicate dalla legge.;Le circostanze generiche possono essere attenuanti o aggravanti.;Le attenuanti generiche non possono concorrere con alcuna circostanza comune.
131;Il Pubblico Ufficiale, in base al codice penale, non può invocare l’uso legittimo delle armi per impedire la consumazione del delitto di:;Inondazione, frana e valanga.;naufragio.;disastro aviatorio.;sommersione.
132;Quando, con una sola azione od omissione, si violano diverse disposizioni di legge, in base alle norme  del codice penale si verifica l’ipotesi di:;concorso formale eterogeneo.;reato  complesso.;concorso materiale eterogeneo.;reato  continuato
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
133;Il soggetto attivo che,  nel commettere il fatto in stato di necessità, ne ecceda colposamente i limiti, ne risponde in virtù dell'art. 55 c.p.:;a titolo di colpa, se il fatto è previsto dalla legge come delitto colposo.;in ogni caso a titolo di colpa.;a titolo di dolo, ma la pena è ridotta.;a titolo di dolo o di colpa a seconda delle ulteriori circostanze del reato.
134;L'elemento soggettivo del delitto tentato secondo l'art. 56 c.p. è costituito:;dalla volontà di realizzare un delitto perfetto in tutti i suoi elementi.;dalla coscienza e volontà di compiere un tentativo di delitto.;dalla semplice partecipazione ad azioni delittuose.;dall'accettazione del rischio di realizzare un delitto completo.
135;Se  il soggetto attivo, dopo aver dato inizio alla condotta criminale, desiste volontariamente dal completare l’azione, sulla base delle norme  del codice penale:;risponde solo degli atti compiuti se questi costituiscono reato.;non è punibile in ogni caso.;è punibile per il reato tentato.;r risponde del delitto tentato, ma soltanto in relazione ai reati di pericolo.
136;In quale caso alla condanna inflitta ad un minore degli anni 18, secondo l'art. 98 c.p., consegue una pena accessoria?;In caso di condanna a pena detentiva non inferiore a 5 anni.;In caso di condanna a pena detentiva non inferiore a 3 anni.;In ogni caso.;In caso di condanna a pena detentiva non inferiore a 18 mesi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
137;Il codice penale prevede ipotesi in cui ad una persona può essere applicata una pena per un fatto previsto dalla legge come  reato, se al momento in cui lo ha commesso, non era imputabile?;No, senza eccezioni.;Si, ma può essere applicata solo una pena accessoria e mai una pena principale.;No, tranne se ha commesso un reato  continuato.;No, tranne i casi in cui ha commesso un reato  per cui è prevista una misura di sicurezza.
138;I reati monosoggettivi ai sensi dell'art. 110 c.p. possono essere commessi:;da uno o più soggetti attivi.;necessariamente da un solo soggetto attivo.;necessariamente ai danni di un solo soggetto passivo.;necessariamente in danno di un unico bene giuridico.
139;La capacità a delinquere del reo e la gravità del reato,  secondo la disposizione dell'art. 133 c.p., incidono:;sulla quantificazione della pena.;sulla natura del reato.;sulle circostanze attenuanti o aggravanti del reato.;sull’elemento materiale del reato.
140;L’amnistia prevista dall'art. 151 c.p.:;estingue il reato e fa cessare l’esecuzione della condanna.;non estingue mai il reato ma fa cessare sempre l’esecuzione della condanna.;se intervenuta dopo la condanna, estingue il reato ma non fa cessare l’esecuzione della condanna.;estingue il reato  e fa cessare l’esecuzione della condanna, salvo che vi sia stata sentenza definitiva.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
141;Con la morte della persona offesa dal reato,  in conformità all'art. 156 c.p. il diritto di remissione di querela:;può essere esercitato dai suoi eredi, purché siano tutti  consenzienti.;si estingue sempre il diritto di remissione di querela da parte  degli eredi.;la remissione di querela può essere esercitata da uno qualsiasi dei suoi eredi, anche senza il consenso degli altri ma con il consenso del P.M.;si estingue in ogni caso il diritto di remissione di querela, salvo che per taluni reati espressamente indicati dalla legge.
142;L’estinzione del reato  o della pena, in conformità alle norme del codice penale, importa l’estinzione delle obbligazioni civili derivanti dal reato?;No, salvo le eccezioni indicate dalla legge.;L’estinzione del reato importa sempre l’estinzione delle obbligazioni civili, l’estinzione della pena importa l’estinzione delle obbligazioni civili sono nei casi espressamente previsti dalla legge.;Solo l’estinzione del reato importa in ogni caso l’estinzione delle obbligazioni civili.;solo la morte del reo importa l'estinzione totale delle obbligazioni civili derivanti da reato.
143;In conformità al codice penale le misure di sicurezza patrimoniali sono:;la cauzione di buona condotta e la confisca.;l’ammenda, la cauzione di buona condotta e la confisca.;la confisca e libertà vigilata.;l'assegnazione a una colonia agricola o ad una casa di lavoro e la libertà vigilata.
144;Qualora la concessione della sospensione condizionale della pena imponga particolari obblighi al condannato, in base all'art. 165 c.p., questi devono essere soddisfatti:;entro il termine stabilito dal Giudice della sentenza.;entro il tempo  in cui la pena è sospesa.;in ogni caso, prima che il Giudice conceda la sospensione della pena.;in ogni caso, entro 30 giorni dalla sentenza che dispone la sospensione, salvo che il Giudice disponga diversamente.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
145;Se  la persona offesa dal reato  è minore degli anni quattordici e chi ne ha la rappresentanza si trovi in conflitto d’interessi col minore stesso, il diritto di querela è esercitato:;da un curatore speciale.;dal Giudice tutelare.;da un curatore speciale o, solo riguardo a reati in materia sessuale, da un prossimo congiunto.;da un prossimo congiunto.
146;"I delitti di “Corruzione per l’esercizio delle funzioni” e di “Corruzione per un atto contrario ai doveri d’ufficio"", in base al codice penale, sono ipotizzabili anche nei confronti dell’incaricato di pubblico servizio dipendente comunale?";Sì.;No, si tratta di delitti propri del solo Pubblico Ufficiale.;Sì, ma il delitto di corruzione per un atto contrario ai doveri d’ufficio è ipotizzabile solo qualora l’incaricato di pubblico servizio rivesta la qualità di pubblico impiegato.;Sì, ma solo il delitto di “Corruzione per l’esercizio delle funzioni” e non anche il delitto di “Corruzione per un atto contrario ai doveri d’ufficio”.
147;Il giudizio di pericolosità sociale, ai sensi delle disposizioni del codice penale, comporta:;l’applicazione di una misura di sicurezza.;l’applicazione di una misura di prevenzione.;l’applicazione di una misura cautelare.;la dichiarazione di recidiva.
148;Nel verificarsi di un reato,  le circostanze soggettive in base all'art. 70 c.p. sono quelle che riguardano, fra l'altro:;le condizioni individuali del colpevole.;le condizioni o le qualità personali dell'offeso.;Il tempo  dell'azione.;Il luogo dell'azione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
149;Secondo le definizioni dell'art. 43 c.p., l’evento che si verifica non è mai attribuibile al volere del soggetto attivo nei:;delitti colposi.;delitti commissivi mediante omissione.;delitti aberranti.;delitti a dolo eventuale.
150;Nel caso di applicazione della pena su richiesta delle parti per il delitto di corruzione per un atto d'ufficio commesso da pubblico ufficiale è sempre ordinata la confisca, secondo le disposizioni del codice penale:;dei beni che ne costituiscono il prezzo o il profitto, salvo che appartengano a persona estranea al reato.;dei beni che ne costituiscono il prezzo o il profitto, anche se appartenenti a persona estranea al reato.;dei beni pertinenti al reato, salvo che appartengano a persona estranea al reato.;dei beni pertinenti al reato, anche se appartenenti a persona estranea al reato.
151;Nelle ipotesi di recidiva, in conformità all'art. 99 c.p., la pena può essere aumentata di un terzo:;per  colui che, dopo essere stato condannato per  un delitto non colposo, ne commette un altro non colposo.;se il nuovo delitto è della stessa indole o è stato commesso nei dieci anni dalla condanna precedente.;se il nuovo delitto, anche se non colposo, è stato commesso nei cinque anni dalla condanna precedente.;per colui che,  dopo essere stato condannato per un delitto non colposo, ne commette un altro, anche se colposo.
152;In quale caso, previsto dall'art. 99 c.p., l’aumento di pena inflitto per effetto della recidiva può superare il cumulo delle pene risultanti dalle condanne precedenti alla commissione del nuovo delitto?;In nessun caso.;Solo se il nuovo delitto non è colposo e si tratta di delitti della stessa indole.;Solo per i reati espressamente indicati dalla legge.;Solo nelle ipotesi di recidiva aggravata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
153;Costituisce, in base all'art. 319 ter c.p., aggravante specifica del delitto di “Corruzione in atti giudiziari”:;se dal fatto deriva l’ingiusta condanna di taluno alla reclusione.;se dal fatto deriva l’ingiusta condanna di taluno alla reclusione non inferiore a 5 anni.;se il fatto è commesso per favorire o danneggiare una parte  in un processo civile o amministrativo.;se il fatto è commesso per favorire o danneggiare una parte  in un processo esclusivamente penale.
