132;L'adozione di regole deontologiche per il trattamento dei dati personali, secondo il disposto del D. Lgs. n. 101/2018, è promossa da:;Garante per la protezione dei dati personali.;titolare del trattamento dei dati personali e sensibili.;Stati membri.;commissione europea.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
133;Il titolare del trattamento dei dati personali e sensibili può, secondo l'art. 12 del Reg. UE 2016/679, addebitare un contributo spese ragionevole per fornire le informazioni:;se le richieste dell'interessato sono manifestamente infondate o eccessive, in particolare per il loro carattere ripetitivo.;se le richieste dell'interessato sono infondate e si ripetono oltre quattro volte.;se le richieste dell'interessato sono eccessive e si ripetono oltre tre volte.;se le richieste dell'interessato sono manifestamente infondate o eccessive e si ripetono oltre tre volte.;
134;Il titolare del trattamento dei dati, ai sensi del Reg. Ue n. 2016/679, deve riesaminare e aggiornare le misure di trattamento:;quando necessario.;secondo un piano triennale di previsione.;secondo un piano quinquennale di previsione.;con cadenza annuale.;
135;Allorché due o più titolari del trattamento determinano congiuntamente le finalità e i mezzi del trattamento, conformemente alle disposizioni del Reg. Ue n. 2016/679:;essi sono contitolari del trattamento.;fra di essi deve essere definito il titolare principale e quello subordinato.;essi devono demandare la titolarità del trattamento ad un soggetto terzo.;il trattamento deve essere cessato.;
136;Qualora un trattamento debba essere effettuato per conto altrui, secondo il disposto del Reg. Ue n. 2016/679, deve essere affidato:;unicamente a responsabili del trattamento che presentino garanzie sufficienti.;a responsabili del trattamento che presentino una specchiata reputazione.;a responsabili del trattamento collocati in uno Stato membro diverso rispetto a quello del titolare del trattamento.;unicamente a responsabili del trattamento collocati nello stesso Stato membro rispetto a quello del titolare del trattamento;
137;In caso di violazione dei dati personali e sensibili detenuti da un titolare del trattamento, in ossequio a quanto previsto dal Reg. Ue n. 2016/679:;notifica la violazione all'autorità di controllo competente ove possibile entro 72 ore.;notifica la violazione alla Commissione Europea e al Garante per la privacy entro 72 ore.;notifica la violazione al Garante per la privacy entro 48 ore.;notifica la violazione alla Commissione di vigilanza sulla privacy entro le successive 82 ore.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
138;In caso di violazione dei dati personali e sensibili detenuti da un titolare del trattamento, in ossequio a quanto previsto dal Reg. Ue n. 2016/679;notifica al soggetto interessato senza ingiustificato ritardo.;notifica all'interessato dopo 24 ore dall'inizio dei controlli sulla violazione.;notifica all'interessato la violazione dopo 92 ore dall'inizio dei controlli sulla violazione.;notifica al soggetto interessato entro 12 ore.;
139;Se ritiene che il trattamento violi il presente Reg. Ue n. 2016/679, l'autorità di controllo fornisce:;entro un termine di otto settimane dal ricevimento della richiesta di consultazione, un parere scritto.;entro un termine di quattro settimane dal ricevimento della richiesta di consultazione, un parere scritto.;entro un termine di sei settimane dal ricevimento della richiesta di consultazione, un parere scritto.;entro un termine di nove settimane dal ricevimento della richiesta di consultazione, un parere scritto.;
140;Il responsabile della protezione dei dati, rispetto al titolare del trattamento, secondo le previsioni del Reg. Ue n. 2016/679:;può essere un dipendente del titolare del trattamento.;non può essere un dipendente del titolare del trattamento.;non può essere dipendente del responsabile del trattamento.;deve essere un professionista indipendente.;
141;La certificazione, prevista dal Reg. Ue n. 2016/679, della protezione dei dati nonché di sigilli e marchi di protezione dei dati è;volontaria e accessibile tramite una procedura trasparente.;obbligatoria in caso di raggiungimento di specifica soglia dimensionale da parte del responsabile del trattamento.;obbligatoria in caso di raggiungimento di specifica soglia dimensionale da parte del titolare del trattamento.;obbligatoria e accessibile tramite procedura insistente presso il Garante per la privacy.;
142;L'organismo di certificazione della protezione dei dati, ai sensi del Reg. Ue n. 2016/679, trasmette:;all'autorità di controllo competente i motivi del rilascio o della revoca della certificazione richiesta.;al Garante per la privacy i motivi del rilascio o della revoca della certificazione richiesta.;al solo responsabile del procedimento i motivi del rilascio o della revoca della certificazione richiesta ai fini della eventuale regolarizzazione.;al solo titolare del procedimento i motivi del rilascio o della revoca della certificazione richiesta ai fini della eventuale regolarizzazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
143;L’autorità di controllo dello stabilimento principale del titolare o responsabile del trattamento, conformemente con il reg. UE n. 2016/679, è competente a:;agire anche per i trattamenti transfrontalieri effettuati.;limitatamente ai trattamenti eseguiti nel proprio stato membro.;limitatamente ai trattamenti eseguiti al massimo in due Stati membri.;solo in presenza di violazioni specifiche del regolare trattamento dei dati personali e sensibili.;
144;Ogni autorità di controllo ai sensi degli articoli del Reg. Ue n. 2016/679 ha, fra l'altro, poteri di indagine su:;accesso a tutti i locali del titolare del trattamento e del responsabile del trattamento.;eventuale rinnovabilità e, in caso positivo, il numero di rinnovi del mandato del membro o dei membri di ogni autorità di controllo.;sviluppare meccanismi di cooperazione internazionale per facilitare l'applicazione efficace della legislazione sulla protezione dei dati personali.;coinvolgere le parti interessate pertinenti in discussioni e attività dirette a promuovere la cooperazione nell'applicazione della legislazione sulla protezione dei dati personali.;
145;Ogni autorità di controllo, secondo le statuizioni del Reg. Ue n. 2016/679, adotta tutte le misure opportune necessarie per dare seguito alle richieste delle altre autorità di controllo:;senza ingiustificato ritardo e comunque entro un mese dal ricevimento della richiesta;senza giustificato motivo e comunque entro quaranta giorni dal ricevimento della richiesta.;senza ingiustificato motivo e comunque entro due mesi dal ricevimento della richiesta.;senza ingiustificato ritardo e comunque entro quaranta giorni dal ricevimento della richiesta.;
146;Al fine di assicurare l'applicazione corretta e coerente del Reg. Ue n. 2016/679 nei singoli casi, il comitato europeo per la protezione dei dati adotta una decisione vincolante:;sulla conformità al regolamento di un progetto di codice di condotta o una modifica o proroga di un codice di condotta.;sull'effettuare un riesame delle certificazioni rilasciate.;sul condurre indagini sotto forma di attività di revisione sulla protezione dei dati.;sul rivolgere avvertimenti al titolare del trattamento o al responsabile del trattamento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
147;Le regole deontologiche previste dal D. Lgs. n. 101/2018 sono approvate dal Garante per la protezione dei dati personali, pubblicate nella Gazzetta Ufficiale della Repubblica italiana e…;con decreto del Ministro della giustizia allegate al codice in materia di protezione dei dati personali.;con decreto del Ministro della giustizia allegate alla versione italiana del GDPR.;con decreto del Presidente del consiglio dei ministri allegate al codice in materia di protezione dei dati personali.;con decreto del Presidente del consiglio dei ministri allegate alla versione italiana del GDPR.;
148;Ai fini del “GDPR”, si intende per “titolare del trattamento”:;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che, singolarmente o insieme ad altri, determina le finalità e i mezzi del trattamento di dati personali.;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che tratta dati personali per conto del responsabile del trattamento.;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che non sia l'interessato e qualunque persona autorizzata al trattamento dei dati personali.;esclusivamente la persona fisica o giuridica che tratta dati personali per conto del destinatario dei dati.;
149;Il “GDPR”, in relazione al trattamento dei dati personali, stabilisce norme relative alla protezione:;delle persone fisiche.;delle persone fisiche e dei soggetti dotati di personalità giuridica.;delle persone fisiche e di taluni soggetti dotati di personalità giuridica.;esclusivamente dei soggetti dotati di personalità giuridica.;
150;A norma del “GDPR”, l’interessato ha il diritto di ottenere dal titolare del trattamento la rettifica dei dati personali inesatti che lo riguardano?;Sì, senza ingiustificato ritardo.;Sì, immediatamente, salvo eccezioni.;Sì, entro 7 giorni dal consenso fornito.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
151;Ai fini del “GDPR”, si intende per “terzo”:;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che non sia l'interessato, il titolare del trattamento, il responsabile del trattamento e le persone autorizzate al trattamento dei dati personali.;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che tratta dati personali per conto del titolare del trattamento.;esclusivamente la persona fisica o giuridica che, singolarmente o insieme ad altri, determina le finalità e i mezzi del trattamento di dati personali.;l'autorità pubblica che tratta dati personali per conto del responsabile del trattamento.;
152;A norma del “GDPR”, il titolare del trattamento dei dati personali deve comunicare all'interessato l’esistenza del diritto di questi di opporsi al loro trattamento?;Sì, in ogni caso.;Sì, ma solo se i dati personali non siano stati ottenuti presso l'interessato.;Sì, ma solo se i dati personali siano raccolti presso l'interessato.;Sì, ma solamente nel caso di dati genetici e biometrici.;
153;L’Autorità di controllo, prevista dal “GDPR”, è istituita:;da ciascuno Stato membro.;dalla Commissione.;dal Comitato.;dalla Commissione, salvo le eccezioni previste.;
154;Ai fini del “GDPR”, si intende per “profilazione”:;qualsiasi forma di trattamento automatizzato di dati personali consistente nell'utilizzo di tali dati per valutare determinati aspetti personali relativi a una persona fisica.;qualsiasi operazione o insieme di operazioni, compiute con o senza l'ausilio di processi automatizzati e applicate a dati personali o insiemi di dati personali.;qualsiasi informazione riguardante una persona fisica identificata o identificabile, che costituisca documento amministrativo, ai sensi della L. 241/1990.;qualsiasi forma di trattamento automatizzato di dati genetici consistente nell'utilizzo di tali dati per valutare determinati aspetti personali relativi a una persona giuridica.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
155;Ai fini del “GDPR”, si intende per “dati biometrici”:;i dati personali ottenuti da un trattamento tecnico specifico relativi alle caratteristiche fisiche, fisiologiche o comportamentali di una persona fisica che ne consentono o confermano l'identificazione univoca.;i dati personali attinenti alla salute fisica o mentale di una persona fisica, compresa la prestazione di servizi di assistenza sanitaria, che rivelano informazioni relative al suo stato di salute.;i dati personali relativi alle caratteristiche genetiche ereditarie o acquisite di una persona fisica che forniscono informazioni univoche sulla fisiologia o sulla salute di detta persona fisica.;i dati personali attinenti alla salute fisica o mentale di una persona fisica, con esclusione della prestazione di servizi di assistenza sanitaria, che rivelano informazioni relative al suo stato di salute.;
156;A norma del “GDPR”, l’interessato ha il diritto di revocare il proprio consenso al trattamento dei dati personali?;Sì, in qualsiasi momento.;Sì, ma non oltre 30 giorni dalla prestazione del consenso.;Sì, ma solo in presenza delle motivazioni espressamente indicate dalla norma.;Sì, ma non oltre 90 giorni dalla prestazione del consenso.;
157;Ai fini del “GDPR”, si intende per “destinatario”:;la persona fisica o giuridica, l'autorità pubblica, il servizio o un altro organismo che riceve comunicazione di dati personali, che si tratti o meno di terzi.;esclusivamente la persona fisica o giuridica che, singolarmente o insieme ad altri, determina le finalità e i mezzi del trattamento di dati personali.;la persona fisica o giuridica, indipendentemente dalla forma giuridica rivestita, che eserciti un'attività economica, comprendente le società di persone o le associazioni che esercitano regolarmente un'attività economica.;esclusivamente l'autorità pubblica, che riceve comunicazione di dati personali, che si tratti o meno di terzi.;
158;Ai fini del “GDPR”, si intende per “autorità di controllo”:;l’autorità pubblica indipendente istituita da uno Stato membro.;un gruppo costituito da un'impresa controllante e dalle imprese da questa controllate.;la persona fisica o giuridica, l'autorità pubblica, il servizio o altro organismo che non sia l'interessato.;l’autorità pubblica istituita dall’Unione europea per la conservazione dei soli dati personali relativi alle caratteristiche genetiche ereditarie o acquisite di una persona fisica.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
159;A norma del “GDPR”, il titolare del trattamento deve comunicare all'interessato le finalità del trattamento cui sono destinati i dati personali?;Sì, in ogni caso.;Sì, ma solo se i dati personali siano raccolti presso l'interessato.;Sì, ma solo per le finalità espressamente indicate dalla legge.;No, in nessun caso.;
160;A norma del “GDPR”, qualora l’interessato intenda revocare il proprio consenso al trattamento dei dati personali:;il consenso è revocato con la stessa facilità con cui è accordato.;il consenso è revocato secondo le procedure espressamente indicate dallo stesso “GDPR”.;il consenso è revocato secondo le procedure stabilite dal titolare del trattamento.;il consenso è revocato secondo le procedure stabilite dal destinatario del trattamento.;
161;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., ai fini della piena accessibilità delle informazioni pubblicate, nella home page dei siti istituzionali, è collocata un'apposita sezione denominata:;Amministrazione trasparente.;Portale del cittadino.;Portale della trasparenza.;Rete Trasparente.;
162;A norma del D. Lgs. n.33/2013 e ss.mm.ii., la libertà di accesso ai dati e ai documenti detenuti dalla P.A. è garantita:;a chiunque.;ai soli soggetti pubblici interessati.;ai soli soggetti interessati, sia pubblici che privati.;ai soli soggetti interessati e contro interessati, sia pubblici che privati, salvo le eccezioni espressamente previste.;
163;A norma del D. Lgs. n.33/2013 e ss.mm.ii., nei casi di mancata risposta da parte della Pubblica Amministrazione all’istanza di accesso civico, il richiedente può:;presentare richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.;in ogni caso, presentare richiesta di riesame al TAR o al difensore civico.;in ogni caso, presentare richiesta di riesame al difensore civico.;in ogni caso, presentare richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza o al difensore civico.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
164;A norma del D. Lgs. n.33/2013 e ss.mm.ii., nell'ambito del Programma triennale per la trasparenza e l'integrità vengono specificati:;le modalità, i tempi di attuazione, le risorse dedicate e gli strumenti di verifica.;Esclusivamente le modalità e gli strumenti di verifica.;le risorse dedicate e gli strumenti di verifica, ma non le modalità e i tempi di attuazione.;le modalità e i tempi di attuazione, ma non le risorse dedicate e gli strumenti di verifica.;
165;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., i dati, le informazioni e i documenti oggetto di pubblicazione obbligatoria ai sensi della normativa vigente sono pubblicati:;per un periodo di 5 anni.;per un periodo di 3 anni.;per un periodo di un anno.;per un periodo di 24 mesi.;
166;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., ogni amministrazione ha l'obbligo di pubblicare sul proprio sito, tra l’altro:;il Piano triennale per la prevenzione della corruzione.;il Piano quinquennale per la prevenzione della corruzione.;il Piano, valido a tempo indeterminato, per la prevenzione della corruzione.;il Piano semestrale per la prevenzione della corruzione.;
167;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., ogni amministrazione pubblica ha l'obbligo di pubblicare sul proprio sito istituzionale nella sezione “Amministrazione trasparente”:;i nominativi ed i curricula dei componenti degli organismi indipendenti di valutazione.;il compenso dell’organico in attività negli uffici dell’Amministrazione, ma non i curricula.;gli atti di liquidazione.;i riferimenti normativi con i relativi link alle norme di legge statale.;
168;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., l’accesso civico può essere negato:;anche per evitare un pregiudizio concreto alla tutela di uno degli interessi privati indicati dalla legge.;esclusivamente per evitare un pregiudizio concreto alla tutela di uno degli interessi pubblici indicati dalla legge.;per evitare un pregiudizio concreto alla tutela di un qualsiasi interesse pubblico.;per evitare un pregiudizio concreto alla tutela di un qualsiasi interesse privato.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
169;Il c.d. “FOIA”, che cambia significativamente la disciplina della trasparenza e gli strumenti per garantirla nei rapporti tra cittadini e P.A. è stato introdotto:;dal D. Lgs. n. 97/2016;dal D. Lgs. n. 33/2013;Dalla L. n. 97/2016.;dal D.P.R. n. 97/2016;
170;Il “Riordino della disciplina riguardante il diritto di accesso civico e gli obblighi di pubblicità, trasparenza e diffusione di informazioni da parte delle PP.AA.” è contenuto:;nel D. Lgs. n. 33/2013.;nella L. 241/90.;nel D. Lgs. n. 97/2016.;nella L. n. 97/2016.;
171;L’acronimo “ANAC” indica:;L’Autorità Nazionale Anticorruzione.;L’Agenzia Nazionale Accesso Civico.;L’Agenzia Nazionale Amministrazioni Centrali.;L’ Autorità Negoziale Amministrazioni Centrali.;
172;L’Autorità Nazionale Anti Corruzione ha sostituito:;la Commissione indipendente per la Valutazione, la Trasparenza e l'Integrità delle amministrazioni pubbliche.;l’Autorità Nazionale per la trasparenza delle Pubbliche Amministrazioni.;l’Agenzia indipendente per la lotta alla corruzione nelle Pubbliche Amministrazioni.;Nessuna delle alternative proposte è corretta.;
173;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., la trasparenza amministrativa ha come scopo anche quello di favorire forme diffuse di controllo sul perseguimento delle funzioni istituzionali e sull'utilizzo delle risorse pubbliche?;Sì.;No, la trasparenza ha il solo scopo di rendere pubblica l’attività della Pubblica Amministrazione.;La trasparenza ha lo scopo di favorire forme diffuse di controllo sull'utilizzo delle risorse pubbliche ma non sul perseguimento delle funzioni istituzionali.;Sì, salvo le eccezioni espressamente previste.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
174;In quale relazione si pongono le norme del D. Lgs. n. 33/2013 con il principio costituzionale sancito dall’art. 117, comma 2, lettera (m) della Costituzione?;Integrano l'individuazione del livello essenziale delle prestazioni erogate dalle PP.AA. a fini di trasparenza, prevenzione, contrasto della corruzione e della cattiva amministrazione.;Integrano il principio di sussidiarietà sancito dal citato articolo della Costituzione per l’attività amministrativa.;Integrano il principio di riserva relativa di legge richiesto dal citato articolo della Costituzione per l’attività amministrativa.;Tutte le alternative proposte sono corrette.;
175;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., gli obblighi di pubblicazione sui siti istituzionali cui sono tenute le Pubbliche Amministrazioni, comportano il diritto di chiunque di accedere ai siti:;direttamente ed immediatamente, senza autenticazione ed identificazione.;previa identificazione in ogni caso.;previa autenticazione e identificazione, salvo eccezioni.;Previa autenticazione e il pagamento del contributo previsto dall’ANAC.;
176;Ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii., la richiesta di accesso può avere ad oggetto tutti gli atti e i documenti delle PP.AA.?;Sì, sia delle amministrazioni statali, che regionali, che locali, ma non degli enti privati, salvo i documenti espressamente sottratti all’accesso.;No, può avere ad oggetto solo gli atti e i documenti espressamente indicati dal decreto medesimo.;Sì, sia delle amministrazioni statali, che regionali, che locali, che degli enti privati, escluse le fondazioni.;Sì, previa autorizzazione da parte dell’ANAC.;
177;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., la libertà di accesso di chiunque ai dati e ai documenti detenuti dalle PP.AA. è garantita tramite:;l'accesso civico e tramite la pubblicazione di documenti, informazioni e dati.;esclusivamente l'accesso civico.;esclusivamente la pubblicazione di documenti, informazioni e dati.;esclusivamente la pubblicazione di dati.;
178;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., la libertà di accesso di chiunque ai dati e ai documenti detenuti dalle PP.AA. incontra i limiti:;relativi alla tutela di interessi pubblici e privati giuridicamente rilevanti.;espressamente imposti dalle norme sulla “Privacy”.;relativi alla sola tutela di interessi pubblici giuridicamente rilevanti.;espressamente imposti dal codice civile.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
179;In relazione al D. Lgs. n. 33/2013 e ss.mm.ii., la medesima disciplina prevista per le PP.AA. si applica anche agli enti pubblici economici e agli ordini professionali?;Sì, in quanto compatibili.;Si applica agli enti pubblici economici ma non agli ordini professionali.;Non si applica agli enti pubblici economici ma solo agli ordini professionali.;No, mai;
180;Come è denominato, a norma del D. Lgs. n. 33/2013 e ss.mm.ii., il sito internet gestito dall’Agenzia per l’Italia Digitale che consente l'accesso ai dati dei pagamenti delle Pubbliche Amministrazioni?;“Soldi pubblici”.;“Bilancio dei pagamenti”.;“Pagamenti Pubblica Amministrazione”.;“Bilancio pubblico”.;
181;A norma del n. 33/2013 e ss.mm. ii, ciascuna amministrazione pubblica sul proprio sito istituzionale i dati sui propri pagamenti, in una parte chiaramente identificabile della sezione:;"""Amministrazione trasparente"".";“Gestione finanziaria”.;“Bilancio consolidato”.;“Spesa civica”.;
182;Ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii., il procedimento di accesso agli atti deve concludersi:;con provvedimento espresso e motivato nel termine, di norma, di 30 giorni dalla presentazione dell'istanza.;con provvedimento espresso e motivato, in caso di accoglimento, entro 30 giorni, o col silenzio rifiuto, in caso di rigetto.;con provvedimento espresso e motivato nel termine di 30 o 60 giorni dalla presentazione dell'istanza, a seconda della materia.;con provvedimento espresso e motivato nel termine di 60 o 90 giorni dalla presentazione dell'istanza, a seconda della materia.;
183;A quali soggetti il D. Lgs. n. 33/2013 e ss.mm.ii. preclude espressamente la possibilità di accesso agli atti amministrativi?;A nessuno.;Solo a coloro che non hanno una legittimazione soggettiva.;Tra gli altri, a coloro che non hanno una legittimazione soggettiva.;Solo a coloro che non hanno una legittimazione oggettiva.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
184;Per esercitare il c.d. “diritto di accesso civico” di cui al D. Lgs. n. 33/2013 e ss.mm.ii., è necessario che gli interessati abbiano un interesse diretto, concreto e attuale?;No, l’interesse diretto, concreto e attuale è richiesto solo dalla L. 241/90 e non anche dal D. Lgs. 33/2013.;No, il D. Lgs. n. 97/2016 ha cancellato tale requisito anche per le ipotesi di accesso disciplinate dalla L. n. 241/90.;Si, qualunque forma di esercizio del diritto di accesso è sempre subordinato ad un interesse diretto, concreto e attuale.;È richiesto solamente che l’interesse sia diretto, e non necessariamente concreto e attuale.;
185;Ai sensi della normativa vigente, la legittimazione soggettiva per esercitare il diritto di accesso è richiesta:;solo per l’accesso disciplinato dalla L. n. 241/90 e non anche dal D. Lgs. n. 33/2013.;sia per l’accesso disciplinato dalla L. n. 241/90 che dal D. Lgs. n. 33/2013.;solo per l’accesso disciplinato dal D. Lgs. n. 97/2016 e non anche dalla L. n. 241/90.;solo per l’accesso disciplinato dalla L. n. 97/2016 e non anche dalla L. n. 241/90.;
186;Ai sensi della normativa vigente, la condizione che la richiesta di accesso sia corrispondente ad una situazione giuridicamente tutelata e collegata al documento al quale è chiesto l’accesso è necessaria per qualsiasi tipo di accesso?;No, è necessaria solo per l’accesso disciplinato dalla L. n. 241/1990 e non anche dal D. Lgs. n. 33/2013.;No, è necessaria solo per l’accesso disciplinato dal D. Lgs. n. 97/2016 e non anche dalla L. n. 241/1990.;Sì, qualunque forma di esercizio del diritto di accesso è sempre subordinato alla necessità che essa sia corrispondente ad una situazione giuridicamente tutelata e collegata al documento al quale chiesto l’accesso.;Sì, salvo le eccezioni espressamente previste dalla norma.;
187;Ai sensi della vigente normativa, il “silenzio-rifiuto” rispetto ad un’istanza di accesso:;è valido solo per l’accesso disciplinato dalla L. n. 241/1990.;è valido sia per l’accesso ai sensi della L. n. 241/90 che per quello ai sensi del D. Lgs. n. 97/2016.;"non è mai valido; in tutte le ipotesi di acceso vige il principio del silenzio- assenso.";è valido solo per l’accesso disciplinato dal D. Lgs. n. 97/2016.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;;RISPOSTA3;RISPOSTA4;
188;Ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii., il procedimento di accesso civico deve concludersi con provvedimento espresso e motivato:;nel termine, di norma, di 30 giorni dalla presentazione dell'istanza.;in caso di accoglimento, entro 30 giorni, o col silenzio rifiuto, in caso di rigetto.;nel termine di 30 o 60 giorni dalla presentazione dell'istanza, a seconda della materia.;nel termine, di norma, di 90 giorni dalla presentazione dell'istanza.;
189;Il c.d. “accesso civico”, disciplinato dal D. Lgs. n. 33/2013 e ss.mm.ii., stabilisce che tutti i cittadini possono accedere:;liberamente e gratuitamente agli atti e ai documenti della P.A., a prescindere da una specifica motivazione.;liberamente agli atti e ai documenti della P.A., previo il solo pagamento dei costi stabiliti dalle singole amministrazioni.;agli atti e ai documenti della P.A., purché sulla base di una specifica motivazione e previo il solo pagamento dei costi stabiliti dalle singole amministrazioni.;agli atti e ai documenti della P.A. previa richiesta scritta inoltrata all’ANAC.;
190;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., dal ricevimento della comunicazione da parte della P.A., eventuali controinteressati ad una richiesta di accesso civico possono opporsi all’accesso entro:;10 giorni.;15 giorni.;7 giorni.;30 giorni.;
191;Ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii., in caso di accoglimento della richiesta di accesso civico nonostante l'opposizione del controinteressato, l'amministrazione ne dà comunicazione al controinteressato e provvede a trasmettere al richiedente i dati o i documenti richiesti:;non prima di 15 giorni dalla ricezione della stessa comunicazione da parte del controinteressato, salvi i casi di comprovata indifferibilità.;in ogni caso, non prima di 15 giorni dalla ricezione della stessa comunicazione da parte del controinteressato.;in ogni caso, non oltre 15 giorni dalla ricezione della stessa comunicazione da parte del controinteressato, salvi i casi di comprovata indifferibilità.;in ogni caso, non prima di 30 giorni dalla ricezione della stessa comunicazione da parte del controinteressato.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
192;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., quale soggetto/i può/possono chiedere agli uffici della P.A. informazioni sull’esito delle istanze di accesso civico?;Il Responsabile della prevenzione della corruzione e della trasparenza.;Il Responsabile della prevenzione della corruzione e della trasparenza e il TAR.;Il Responsabile della prevenzione della corruzione e della trasparenza, il TAR e il difensore civico.;Il TAR e il Responsabile unico del procedimento.;
193;A norma del D.lgs. 33/2013, nei casi di diniego totale o parziale dell'accesso civico, il richiedente può:;presentare richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.;in ogni caso, presentare richiesta di riesame al difensore civico.;in ogni caso, presentare richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza o al difensore civico.;presentare richiesta di riesame al TAR.;
194;A norma del D.lgs. 33/2013, in caso di richiesta di accesso civico, avverso la decisione dell’amministrazione competente, l’interessato può:;proporre ricorso al TAR o richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.;in ogni caso, proporre ricorso al TAR o richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza o al difensore civico.;presentare ricorso al TAR, ma solo dopo aver esperito con esito negativo la richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.;proporre solo ricorso al TAR.;
195;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., nei casi in cui è consentito il ricorso al difensore civico avverso il diniego ad una richiesta di accesso civico, questi deve pronunciarsi entro:;30 giorni dalla presentazione del ricorso.;10 giorni dalla presentazione del ricorso.;20 giorni dalla presentazione del ricorso.;20 giorni dalla presentazione del ricorso, salvo le eccezioni previste.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
196;Il D. Lgs. n. 33/2013 e ss.mm.ii. prevede la possibilità che, il richiedente cui sia stato opposto il diniego alla richiesta di accesso civico, qualora si tratti di atti degli enti locali, possa presentare ricorso avverso il diniego al difensore civico competente per territorio. In tale ipotesi, entro quanto tempo dalla presentazione del ricorso deve pronunciarsi il difensore civico?;30 giorni.;10 giorni.;15 giorni.;15 giorni, salvo le eccezioni previste.;
197;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., nei casi di accoglimento della richiesta di accesso, il controinteressato può presentare:;richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza o presentare ricorso al difensore civico, quando consentito.;esclusivamente richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.;esclusivamente richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza o al TAR.;esclusivamente richiesta di riesame al TAR.;
198;Ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii., le PP.AA. possono rifiutare, differire o limitare l'accesso civico?;Si, ma questi devono essere motivati con riferimento ai casi e ai limiti stabiliti dal medesimo Decreto legislativo.;Si, ma questi devono essere motivati con l’esigenza da parte della P.A. di tutelare un qualsiasi interesse pubblico.;No, a differenza della disciplina sancita dalla L. 241/90, per l’accesso civico non sono consentiti il rifiuto, il differimento o la limitazione.;Si, ma questi devono essere motivati con l’esigenza da parte della P.A. di tutelare un qualsiasi interesse economico.;
