58;Con riferimento alla disciplina del lavoro all'esterno, di cui all'art. 21 della L. n. 354/1975 e ss.mm.ii., nei confronti dei condannati all'ergastolo l'assegnazione al lavoro all'esterno:;può avvenire dopo l'espiazione di almeno dieci anni di pena.;può avvenire dopo l'espiazione di almeno venti anni di pena.;non può mai avvenire.;può avvenire dopo l'espiazione di almeno cinque anni di pena.;
59;Con riferimento alla disciplina del lavoro all'esterno, di cui all'art. 21 della L. n. 354/1975 e ss.mm.ii., gli imputati:;sono ammessi al lavoro all'esterno, previa autorizzazione della competente autorità giudiziaria.;non possono essere ammessi al lavoro all'esterno.;sono ammessi al lavoro all'esterno, previa autorizzazione del Prefetto territorialmente competente.;sono ammessi al lavoro all'esterno, previa autorizzazione del Provveditore regionale dell'Amministrazione penitenziaria.;
60;Secondo la disciplina dettata dalla L. n. 354/1975 e ss.mm.ii., la concessione dei permessi premio nei confronti dei condannati all'ergastolo:;è ammessa dopo l'espiazione di almeno dieci anni della pena.;è ammessa dopo l'espiazione di almeno quindici anni della pena.;è ammessa dopo l'espiazione di almeno trenta anni della pena.;è ammessa dopo l'espiazione di almeno venti anni della pena.;
61;Relativamente all'istituto della detenzione domiciliare, di cui all'art. 47-ter della L. n. 354/1975 e ss.mm.ii., un soggetto di 20 anni condannato alla pena della reclusione pari a due anni può essere ammesso alla detenzione domiciliare?;Sì, per comprovate esigenze di salute, di studio, di lavoro e di famiglia.;Sì, ma solamente per comprovate esigenze di famiglia.;No, come espressamente previsto dalla medesima normativa.;No, poiché l'istituto della detenzione domiciliare è previsto solamente per coloro che non abbiano superato i diciotto anni di età.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
62;Relativamente all'istituto della detenzione domiciliare, di cui all'art. 47-ter della L. n. 354/1975 e ss.mm.ii., un soggetto di 65 anni inabile condannato alla pena della reclusione pari a tre anni può essere ammesso alla detenzione domiciliare?;Sì, come espressamente previsto dalla medesima normativa.;Sì, ma solamente per comprovate esigenze di famiglia.;No, poiché l'istituto della detenzione domiciliare è previsto solamente per coloro che non abbiano superato i ventuno anni di età.;Sì, ma solamente per comprovate esigenze di salute.;
63;Con riferimento alla misura dell'affidamento in prova al servizio sociale, di cui all'art. 47 della L. n. 354/1975 e ss.mm.ii., il condannato può essere affidato al servizio sociale fuori dell'istituto per un periodo uguale a quello della pena da scontare:;se la pena detentiva inflitta non supera tre anni.;se la pena detentiva inflitta non supera cinque anni.;dopo l'espiazione di almeno tre anni della pena.;dopo l'espiazione di almeno cinque anni della pena.;
64;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., se l'istanza di affidamento in prova al servizio sociale è proposta da soggetto in libertà, il provvedimento è adottato mediante l'intervento:;dell'Ufficio di esecuzione penale esterna.;dei servizi socio-sanitari territorialmente competenti.;del Prefetto.;del Questore.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
65;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., l'istanza di affidamento in prova al servizio sociale è proposta, dopo che ha avuto inizio l'esecuzione della pena:;al Tribunale di sorveglianza competente in relazione al luogo dell'esecuzione ovvero, al Magistrato di sorveglianza competente in relazione al luogo di detenzione quando sussiste un grave pregiudizio derivante dalla protrazione dello stato di detenzione.;al Tribunale di sorveglianza competente in relazione al luogo dell'esecuzione, in ogni caso.;al Magistrato di sorveglianza competente in relazione al luogo di detenzione, in ogni caso.;al Provveditore regionale dell'Amministrazione penitenziaria competente in relazione al luogo dell'esecuzione ovvero, al Tribunale di sorveglianza competente in relazione al luogo di detenzione quando sussiste un grave pregiudizio derivante dalla protrazione dello stato di detenzione.;
66;A norma della L. n. 354/1975 e ss.mm.ii. e con specifico riferimento all'istituto dell'affidamento in prova al servizio sociale, le prescrizioni che il soggetto dovrà seguire in ordine ai suoi rapporti con il servizio sociale, alla dimora, alla libertà di locomozione, al divieto di frequentare determinati locali ed al lavoro, possono essere modificate nel corso dell'affidamento?;Sì, dal Magistrato di sorveglianza.;Sì, dal Consiglio di disciplina dell'istituto.;Sì, dal Prefetto.;No, in nessun caso.;
67;A norma della L. n. 354/1975 e ss.mm.ii. e con specifico riferimento all'istituto dell'affidamento in prova al servizio sociale, le deroghe temporanee alle prescrizioni che il soggetto dovrà seguire sono autorizzate, nei casi di urgenza:;dal direttore dell'Ufficio di esecuzione penale esterna.;dal Consiglio di disciplina dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria competente in relazione al luogo dell'esecuzione.;dal direttore dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
68;Secondo il disposto della L. n. 354/1975 e ss.mm.ii., la misura del permesso premio:;può essere richiesta dal condannato.;è disposta, in ogni caso, d'ufficio.;può essere richiesta dal direttore dell'Ufficio di esecuzione penale esterna.;può essere richiesta dal Pubblico ministero.;
69;A norma della L. n. 354/1975 e ss.mm.ii. la liberazione condizionale può essere concessa:;dal Tribunale di sorveglianza.;dal Prefetto.;dal Procuratore della Repubblica.;dal Consiglio di disciplina dell'istituto.;
70;Qualora la pena della reclusione non sia superiore a quattro anni, anche se costituente parte residua di maggior pena, quale, tra i seguenti soggetti, può essere ammesso alla detenzione domiciliare di cui all'art. 47-ter della L. n. 354/1975 e ss.mm.ii.?;La donna incinta o madre di prole di età inferiore ad anni dieci con lei convivente.;Il condannato che abbia compiuto i cinquanta anni di età.;Il condannato per appartenenza ad associazione di tipo mafioso che non collabora con la giustizia.;Il condannato per il compimento di atti di violenza con finalità di terrorismo o di eversione dell'ordine democratico dopo l'espiazione di almeno cinque anni della pena.;
71;Qualora la pena della reclusione non superi i quattro anni, quale, tra i seguenti soggetti, non può essere ammesso alla detenzione domiciliare di cui all'art. 47-ter della L. n. 354/1975 e ss.mm.ii.?;La persona maggiore di anni ventuno per comprovate esigenze di salute, di studio, di lavoro e di famiglia.;La persona di età superiore a sessanta anni, se inabile anche parzialmente.;La donna incinta o madre di prole di età inferiore ad anni dieci con lei convivente.;La persona in condizioni di salute particolarmente gravi, che richiedano costanti contatti con i presidi sanitari territoriali.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
72;"A norma dell'art. 58-ter (""Persone che collaborano con la giustizia"") della L. n. 354/1975 e ss.mm.ii., a chi spetta il compito di accertare che il condannato abbia aiutato concretamente l'autorità di polizia o l'autorità giudiziaria nella raccolta di elementi decisivi per la ricostruzione dei fatti e per l'individuazione o la cattura degli autori dei reati?";Al Tribunale di sorveglianza.;Al direttore dell'istituto penitenziario.;Al Capo del Dipartimento dell'Amministrazione penitenziaria.;Al Procuratore della Repubblica.;
73;"A norma della L. n. 354/1975 e ss.mm.ii., la persona condannata alla pena della reclusione per il delitto di cui all'art. 416-bis (""Associazioni di tipo mafioso anche straniere"") del Codice penale e che collabora concretamente con la giustizia:";può essere assegnata al lavoro all'esterno, ricevere permessi premio e essere ammessa alle misure alternative alla detenzione.;può essere assegnata al lavoro all'esterno, ricevere permessi premio ma non può essere ammessa alle misure alternative alla detenzione.;può ricevere permessi premio ma non può essere assegnata al lavoro all'esterno né può essere ammessa alle misure alternative alla detenzione.;può essere assegnata al lavoro all'esterno, ricevere permessi premio e essere ammessa alle misure alternative alla detenzione, compresa la liberazione anticipata.;
74;"Secondo il disposto della L. n. 354/1975 e ss.mm.ii., la persona condannata alla pena della reclusione per il delitto di cui all'art. 630 (""Sequestro di persona a scopo di estorsione"") del Codice penale e che collabora con la giustizia:";può essere assegnata al lavoro all'esterno, ricevere permessi premio e essere ammessa alle misure alternative alla detenzione.;può essere assegnata al lavoro all'esterno, ricevere permessi premio e, nell'ambito delle misure alternative alla detenzione, può essere ammessa solamente all'affidamento in prova al servizio sociale.;può essere assegnata al lavoro all'esterno, ricevere permessi premio ma non può essere ammessa alle misure alternative alla detenzione.;non può essere assegnata al lavoro all'esterno né ricevere permessi premio.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
75;La durata massima di ciascun permesso premio, secondo quanto previsto dall'art. 30-ter della L. n. 354/1975 e ss.mm.ii.:;è di quindici giorni.;è di sette giorni.;è di dieci giorni.;è stabilita, in baso alla singola richiesta, dal Consiglio di disciplina dell'istituto.;
76;La durata dei permessi premio, di cui all'art. 30-ter della L. n. 354/1975 e ss.mm.ii.:;non può superare complessivamente quarantacinque giorni in ciascun anno di espiazione.;non può superare complessivamente trenta giorni in ciascun anno di espiazione.;non può superare complessivamente sessanta in ciascun anno di espiazione.;non può superare complessivamente novanta in ciascun anno di espiazione.;
77;A norma della L. n. 354/1975 e ss.mm.ii., la durata di ciascun permesso premio per i condannati minori di età:;non può superare i trenta giorni.;non può superare i quindici giorni.;non può superare i sessanta giorni.;non può superare i quarantacinque giorni.;
78;A norma della L. n. 354/1975 e ss.mm.ii., la durata complessiva dei permessi premio per i condannati minori di età non può eccedere:;i cento giorni in ciascun anno di espiazione.;i centoventi giorni in ciascun anno di espiazione.;i sessanta giorni in ciascun anno di espiazione.;i quarantacinque giorni in ciascun anno di espiazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
79;Con riferimento alla disciplina dei permessi premio, di cui all'art. 30-ter della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?;Nei confronti dei soggetti che durante l'espiazione della pena o delle misure restrittive hanno riportato condanna o sono imputati per delitto doloso commesso durante l'espiazione della pena o l'esecuzione di una misura restrittiva della libertà personale, la concessione è ammessa soltanto decorsi due anni dalla commissione del fatto.;La concessione dei permessi premio non è ammessa nei confronti dei condannati all'ergastolo.;"La concessione dei permessi premio non è ammessa nei confronti dei condannati alla pena della reclusione per il delitto di cui all'art. 416-bis (""Associazioni di tipo mafioso anche straniere"").";Il provvedimento relativo ai permessi premio è soggetto a reclamo al Capo dell'Amministrazione penitenziaria.;
80;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, esprime motivato parere sulle proposte e le istanze di grazia concernenti i detenuti?;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Provveditore regionale dell'Amministrazione penitenziaria.;Il Comitato Unico di Garanzia dell'Amministrazione penitenziaria.;
81;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, provvede sui permessi, sulle licenze ai detenuti semiliberi ed agli internati?;Il Magistrato di sorveglianza.;Il Provveditore regionale dell'Amministrazione penitenziaria.;Il Collegio di disciplina dell'istituto.;Il Ministro della giustizia.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
82;"""Il Magistrato di sorveglianza provvede, con decreto motivato, sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare"". A norma della L. n. 354/1975 e ss.mm.ii., la precedente affermazione è:";corretta.;errata, poiché è il Capo dell'Amministrazione penitenziaria che provvede, con decreto motivato, sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.;errata, poiché è il Tribunale di sorveglianza che provvede, con decreto motivato, sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.;errata, poiché è il Provveditore regionale dell'Amministrazione penitenziaria che provvede, con decreto motivato, sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.;
83;A norma della L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, provvede sulla riduzione di pena per la liberazione anticipata e sulla remissione del debito?;Il Magistrato di sorveglianza, con ordinanza.;Il Magistrato di sorveglianza, con decreto non motivato.;Il Tribunale di sorveglianza, con ordinanza.;Il Giudice dell'esecuzione, con ordinanza.;
84;A norma della L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, sovraintende all'esecuzione delle misure di sicurezza personali?;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Collegio di disciplina dell'istituto.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
85;"Secondo quanto specificato dall'art. 70 (""Funzioni e provvedimenti del Tribunale di sorveglianza"") della L. n. 354/1975 e ss.mm.ii., il Tribunale di sorveglianza:";è competente relativamente alla revoca della misura della semilibertà.;esprime motivato parere sulle proposte e le istanze di grazia concernenti i detenuti.;provvede con ordinanza sulla riduzione di pena per la liberazione anticipata e sulla remissione del debito.;provvede sui reclami giurisdizionali dei detenuti concernenti per inosservanza dell'Amministrazione dei regolamenti e della medesima legge n. 354/1975.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
86;Così come disposto dall'art.70 della L. n. 354/1975 e ss.mm.ii., il Tribunale di sorveglianza:;è competente relativamente alla cessazione della misura della liberazione condizionale.;approva, con decreto, il provvedimento di ammissione al lavoro all'esterno.;esercita la vigilanza diretta ad assicurare che l'esecuzione della custodia degli imputati sia attuata in conformità delle leggi e dei regolamenti.;approva, con decreto, il programma di trattamento penitenziario predisposto nei confronti del condannato.;
87;"Secondo quanto specificato dall'art. 69 (""Funzioni e provvedimenti del Magistrato di sorveglianza"") della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?";Il Magistrato di sorveglianza provvede, con decreto motivato, sui permessi, sulle licenze ai detenuti semiliberi ed agli internati, e sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.;"Il Magistrato di sorveglianza provvede, con decreto motivato, sui permessi e sulle licenze ai detenuti semiliberi ed agli internati; non ha invece alcuna competenza a provvedere sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.";"Il Magistrato di sorveglianza provvede, con decreto motivato, sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare; non ha invece alcuna competenza a provvedere sui permessi e sulle licenze ai detenuti semiliberi ed agli internati.";"Il Magistrato di sorveglianza provvede, con ordinanza, sulle modifiche relative all'affidamento in prova al servizio sociale; non ha invece alcuna competenza a provvedere sulle modifiche relative alla detenzione domiciliare, sui permessi e sulle licenze ai detenuti semiliberi ed agli internati.";
88;A norma della L. n. 354/1975 e ss.mm.ii., entro quanti giorni dalla richiesta di trasferimento da parte dei detenuti e degli internati per ragioni di studio, di formazione, di lavoro, di salute o familiari l'Amministrazione penitenziaria vi provvede?;Entro sessanta giorni.;Entro novanta giorni.;Entro quindici giorni.;Entro quarantacinque giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
89;Così come disposto dall'art. 33 della L. n. 354/1975 e ss.mm.ii., le modalità di esecuzione dell'isolamento negli istituti penitenziari sono specificate:;dal regolamento interno dell'istituto.;dalla stessa L. n. 354/1975.;dal Provveditore regionale dell'Amministrazione penitenziaria.;da circolare del Capo del Dipartimento dell'Amministrazione penitenziaria.;
90;A norma della L. n. 354/1975 e ss.mm.ii., negli istituti penitenziari l'isolamento continuo:;è ammesso, tra l'altro, durante l'esecuzione della sanzione della esclusione dalle attività in comune.;non è mai ammesso.;è ammesso solamente quando è prescritto per ragioni sanitarie.;è ammesso esclusivamente per ragioni di cautela processuale e quando è prescritto per ragioni sanitarie.;
91;Secondo la disciplina dettata dalla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?;L'isolamento non preclude l'esercizio del diritto di effettuare colloqui visivi con i soggetti autorizzati.;L'ordinanza del Provveditore regionale dell'Amministrazione penitenziaria specifica le modalità di esecuzione dell'isolamento.;Negli istituti penitenziari l'isolamento continuo è ammesso solamente quando è prescritto per ragioni sanitarie.;Negli istituti penitenziari l'isolamento continuo non è ammesso durante l'esecuzione della sanzione della esclusione dalle attività in comune.;
92;A norma dell'art. 74 della L. n. 354/1975 e ss.mm.ii., quanti componenti qualificati nell'assistenza sociale vengono nominati dal Presidente del tribunale che presiede il Consiglio di aiuto sociale?;Sei.;Quattro.;Tre.;Nove.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
93;Con riferimento alla disciplina relativa al lavoro penitenziario a cui sono destinati detenuti e internati, di cui all'art.20 della L. n. 354/1975 e ss.mm.ii., il direttore dell'istituto:;può derogare ai criteri di assegnazione al lavoro fissati dall'organo preposto solo per specifiche ragioni di sicurezza.;può derogare ai criteri di assegnazione al lavoro fissati dall'organo preposto previo parere favorevole del Gruppo di Osservazione e Trattamento (G.O.T.).;non può mai derogare ai criteri di assegnazione al lavoro fissati dall'organo preposto.;può derogare ai criteri di assegnazione al lavoro fissati dall'organo preposto previo parere favorevole del Magistrato di sorveglianza.;
94;A norma dell'art. n.47-ter della L. n. 354/1975 e ss.mm.ii., un padre esercente la responsabilità genitoriale, di prole di età inferiore ad anni dieci con lui convivente, condannato alla pena della reclusione non superiore a quattro anni, anche se costituente parte residua di pena, può essere ammesso alla misura della detenzione domiciliare?;Sì, solamente nel caso in cui la madre sia deceduta o altrimenti impossibilitata a dare assistenza alla prole.;No, in nessun caso.;Sì, qualora il padre abbia superato i cinquanta anni di età.;Sì, in ogni caso.;
95;A norma dell'art. n.47-ter della L. n. 354/1975 e ss.mm.ii., un soggetto di 20 anni condannato alla pena della reclusione pari a tre anni può essere ammesso alla misura della detenzione domiciliare?;Sì, soltanto per comprovate ragioni di studio, di salute, di lavoro e di famiglia.;No, poiché la detenzione domiciliare è prevista soltanto per coloro che abbiano compiuto i ventuno anni di età.;No, poiché la detenzione domiciliare è prevista soltanto per coloro che non abbiano compiuto i diciotto anni di età.;Sì, solamente per comprovate esigenze di salute.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
96;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., il condannato ammesso alla misura della detenzione domiciliare che si allontana dal luogo di detenzione, è punito con la revoca del beneficio?;Sì, salvo che il fatto sia di lieve entità.;No, in nessun caso.;Sì, salvo il caso in cui il residuo della pena da espiare sia pari a due anni.;Sì, anche nell'ipotesi in cui sia stata riconosciuta la lieve entità del fatto.;
97;Relativamente al regime di semilibertà, di cui alla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni è corretta?;Possono essere espiate in regime di semilibertà la pena dell'arresto e la pena della reclusione non superiore a sei mesi, se il condannato non è affidato in prova al servizio sociale.;Può essere espiate in regime di semilibertà solamente la pena dell'arresto e non anche la pena della reclusione.;Può essere espiata in regime di semilibertà solamente la pena della reclusione non superiore a dodici mesi.;Può essere espiata in regime di semilibertà solamente la pena della reclusione non superiore a dodici mesi, se il condannato non è affidato in prova al servizio sociale.;
98;Così come specificato dalla L. n. 354/1975 e ss.mm.ii., il condannato all'ergastolo:;può essere ammesso al regime di semilibertà dopo avere espiato almeno venti anni di pena.;può essere ammesso al regime di semilibertà dopo avere espiato almeno trenta anni di pena.;non può mai essere ammesso al regime di semilibertà.;può essere ammesso al regime di semilibertà solamente per motivi di salute.;
99;"""Il regime particolare di sorveglianza è disposto con provvedimento motivato del Magistrato di sorveglianza previo parere del direttore dell'istituto"". A norma dell'art. n.14-bis della L. n. 354/1975 e ss.mm.ii., la precedente affermazione è:";errata, poiché il regime particolare di sorveglianza è disposto con provvedimento motivato dell'Amministrazione penitenziaria previo parere del Consiglio di disciplina integrato da due esperti ex art. 80 della medesima legge.;corretta.;errata, poiché il regime particolare di sorveglianza è disposto con provvedimento motivato dell'Amministrazione penitenziaria previo parere del Tribunale di sorveglianza.;errata, poiché il regime particolare di sorveglianza è disposto con provvedimento motivato del Tribunale di sorveglianza previo parere del direttore dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
100;A norma dell'art. 40 della L. n. 354/1975 e ss.mm.ii., la sanzione del richiamo comminata al detenuto è deliberata:;dal direttore dell'istituto.;dal Consiglio di disciplina dell'istituto.;dal Capo educatore dell'istituto.;dal Comandante del reparto.;
101;A norma dell'art. 40 della L. n. 354/1975 e ss.mm.ii., la sanzione dell'ammonizione inflitta al detenuto è deliberata:;dal direttore dell'istituto.;dal Consiglio di disciplina dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria;dal Magistrato di sorveglianza.;
102;In casi eccezionali di rivolta o di altre gravi situazioni di emergenza, così come disposto dalla L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, ha facoltà di sospendere nell'istituto interessato o in parte di esso l'applicazione delle normali regole di trattamento dei detenuti e degli internati?;Il Ministro della giustizia.;Il Tribunale di sorveglianza.;Il Provveditore regionale dell'Amministrazione penitenziaria.;Il Prefetto.;
103;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., per ciascun condannato o internato il provvedimento di ammissione al lavoro all'esterno diviene esecutivo:;dopo l'approvazione del Magistrato di sorveglianza.;dopo l'approvazione del Provveditore regionale dell'Amministrazione penitenziaria.;dopo l'approvazione del Capo del Dipartimento dell'Amministrazione penitenziaria.;dopo l'avvenuta ricezione del provvedimento da parte del direttore dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
104;A norma dell'art. 25 della L. n. 354/1975 e ss.mm.ii., le lavorazioni penitenziarie sono organizzate, sulla base di direttive…;dai Provveditorati regionali dell'Amministrazione penitenziaria, sentite le Commissioni regionali per il lavoro penitenziario nonché le direzioni dei singoli istituti.;esclusivamente dalle direzioni dei singoli istituti.;dal Ministro della Giustizia sentite le Commissioni regionali per il lavoro penitenziario.;dalle Commissioni regionali per il lavoro penitenziario sentiti i Provveditorati regionali dell'Amministrazione penitenziaria e le direzioni dei singoli istituti.;
105;Ai sensi della L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, concede permessi premio ai condannati che hanno tenuto regolare condotta durante l'esecuzione della pena, manifestando un costante senso di responsabilità e correttezza nel comportamento personale e nelle attività organizzate negli istituti?;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
106;Il provvedimento relativo ad un'istanza di permesso, secondo quanto disciplinato dall'art. 30-bis della L. n. 354/1975 e ss.mm.ii., è comunicato:;al Pubblico ministero e all'interessato.;all'interessato e al direttore dell'istituto.;al Pubblico ministero e al direttore dell'istituto.;all'interessato, al Magistrato di sorveglianza e al Consiglio di disciplina dell'istituto.;
107;Così come disposto dall'art. 30- bis della L. n. 354/1975 e ss.mm.ii., chi può proporre reclamo avverso il provvedimento relativo ad un'istanza di permesso?;Il Pubblico ministero e l'interessato, entro ventiquattro ore dalla comunicazione.;Il Pubblico ministero e l'interessato, entro quarantotto ore dalla comunicazione.;Esclusivamente il Pubblico ministero, entro ventiquattro ore dalla comunicazione.;Il Pubblico ministero e il Consiglio di disciplina dell'istituto, entro quarantotto ore dalla comunicazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
108;A norma della L. n. 354/1975 e ss.mm.ii., il condannato che, ammesso al regime di semilibertà rimane assente dall'istituto senza giustificato motivo, è punibile a norma del primo comma dell'art. 385 del codice penale?;Sì, se l'assenza dall'istituto si protrae per più di 12 ore.;Sì, se l'assenza dall'istituto si protrae per più di 6 ore.;Sì, in ogni caso.;No, in nessun caso.;
109;Secondo il disposto della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti, non si configura, come una misura alternativa alla detenzione?;Pena pecuniaria.;Detenzione domiciliare.;Affidamento in prova al servizio sociale.;Regime di semilibertà.;
110;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., i detenuti sottoposti al regime speciale di detenzione ex art. 41bis della medesima legge, a quanti colloqui con i difensori hanno diritto?;Fino ad un massimo di tre colloqui alla settimana.;Fino ad un massimo di sei colloqui al mese.;Un solo colloquio a settimana.;Fino ad un massimo di otto colloqui al mese.;
111;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., i detenuti sottoposti al regime speciale di detenzione ex art. 41bis della medesima legge:;hanno diritto a un colloquio al mese con familiari o persone conviventi.;hanno diritto a due colloqui al mese con familiari o persone conviventi.;hanno diritto a quattro colloqui al mese con familiari o persone conviventi.;non hanno diritto a colloqui con familiari o persone conviventi.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
112;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., è fatto divieto ai condannati sottoposti al regime speciale di detenzione ex art. 41bis della medesima legge di avere colloqui con persone diverse dai familiari e conviventi?;Sì, salvo casi eccezionali determinati volta per volta dal direttore dell'istituto.;Sì, salvo casi eccezionali determinati volta per volta dal Magistrato di sorveglianza.;Sì, sempre.;Sì, salvo casi eccezionali determinati volta per volta dal Provveditore regionale dell'Amministrazione penitenziaria.;
113;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., la corrispondenza dei detenuti sottoposti al regime speciale di detenzione è sottoposta a visto di censura?;Sì, con decreto motivato dell'autorità giudiziaria competente, salvo quella con i membri del Parlamento o con autorità europee o nazionali aventi competenza in materia di giustizia.;Sì, in ogni caso.;Sì, compresa quella con i membri del Parlamento o con autorità europee o nazionali aventi competenza in materia di giustizia.;Solo quella intrattenuta con i propri familiari e con i soggetti di volta in volta determinati dal Magistrato di sorveglianza.;
114;Così come disciplinato dalla L. n. 354/1975 e ss.mm.ii. e con specifico riferimento alla materia delle sanzioni disciplinari applicate nei confronti del detenuto, fino a quanti giorni può protrarsi l'esclusione dalle attività ricreative?;dieci giorni.;quindici giorni.;sette giorni.;cinque giorni.;
115;Ai sensi della L. n. 354/1975 e ss.mm.ii. e con particolare riferimento alla materia delle sanzioni disciplinari applicate nei confronti del detenuto, fino a quanti giorni può protrarsi l'esclusione dalle attività in comune?;quindici giorni.;dieci giorni.;venti giorni.;sette giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
116;La sanzione disciplinare dell'isolamento durante la permanenza all'aria aperta, di cui all'art. 39 della L. n. 354/1975 e ss.mm.ii., non può protarsi:;per più di dieci giorni.;per più di venti giorni.;per più di tre giorni.;per più di sette giorni.;
117;A norma della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti sanzioni disciplinari, non è deliberata dal Consiglio di disciplina dell'istituto?;ammonizione.;esclusione da attività ricreative e sportive.;isolamento durante la permanenza all'aria aperta.;esclusione dalle attività in comune.;
118;A norma della L. n. 354/1975 e ss.mm.ii., la sanzione disciplinare dell'isolamento durante la permanenza all'aria aperta:;è deliberata dal Consiglio di disciplina dell'istituto.;è deliberata dal direttore dell'istituto.;è deliberata dal Tribunale di sorveglianza.;è deliberata dal direttore dell'istituto, previo parere favorevole del Magistrato di sorveglianza.;
119;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., la sanzione disciplinare della esclusione dalle attività in comune, non può essere eseguita:;senza la certificazione scritta, rilasciata dal sanitario, attestante che il soggetto può sopportarla.;senza l'autorizzazione scritta rilasciata dal Magistrato di sorveglianza.;nei confronti dei detenuti minori di anni ventuno.;senza l'autorizzazione scritta rilasciata dal Capo educatore dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
