N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
57;Quale dei seguenti in base alle norme del c.p.p. non è un caso di annullamento senza rinvio?;"Quando è necessario ""correggere"" il vizio di una sentenza.";Quando il fatto non è previsto dalla legge come reato.;Quando il reato è estinto.;Quando il reato non appartiene alla giurisdizione del giudice ordinario.
58;Quale dei seguenti non rientra tra i casi previsti dal c.p.p. in cui la corte d'appello pronuncia comunque una sentenza contraria all'estradizione?;Quando non esiste una convenzione, pur sussistendo gravi indizi di colpevolezza ovvero se esiste una sentenza irrevocabile di condanna.;Quando, per il reato per il quale l’estradizione è stata domandata, la persona è stata o sarà sottoposta a un procedimento che non assicura il rispetto dei diritti fondamentali.;Se la sentenza per la cui esecuzione è stata domandata l’estradizione contiene disposizioni contrarie ai principi fondamentali dell’ordinamento giuridico dello Stato.;Se vi è motivo di ritenere che la persona verrà sottoposta ad atti persecutori o discriminatori ovvero a pene o trattamenti crudeli, disumani o degradanti o comunque ad atti che configurano violazione di uno dei diritti fondamentali della persona.
59;È possibile rinnovare in appello l'istruzione dibattimentale?;Sì, eccezionalmente se una parte ne abbia fatto richiesta nell'atto di appello o nei motivi aggiuntivi ovvero d'ufficio se il giudice la ritiene assolutamente necessaria.;Assolutamente no.;Sì, sempre.;No, ad eccezione del solo caso in cui il giudice la ritenga assolutamente necessaria e quindi vi provveda d'ufficio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
60;Quale delle seguenti affermazioni, con riferimento alle norme stabilite dal c.p.p., in materia di disponibilità della P.G., è falsa?;Ogni procura della Repubblica dispone di tutte le sezioni di polizia giudiziaria istituite nel distretto.;Ogni procura generale presso la Corte di appello dispone di tutte le sezioni istituite nel distretto.;Ogni procura della Repubblica dispone della rispettiva sezione di polizia giudiziaria.;Le attività di polizia giudiziaria per i giudici del distretto sono svolte dalla sezione istituita presso la corrispondente procura della Repubblica.
61;"Cosa si intende per ""altri ufficiali e agenti di polizia giudiziaria"" ex art. 57, comma 3, c.p.p.?";Tutti quei soggetti ai quali le leggi e i regolamenti attribuiscono le funzioni di polizia giudiziaria con competenza limitata a determinati reati.;Tutti quei soggetti ai quali le leggi e i regolamenti attribuiscono le funzioni di polizia giudiziaria con competenza generale.;Tutti quei soggetti ai quali essenzialmente i regolamenti attribuiscono le funzioni di polizia giudiziaria con competenza limitata a determinati reati.;Tutti quei soggetti ai quali le leggi e i regolamenti attribuiscono le funzioni di polizia di sicurezza con competenza limitata a determinati reati.
62;A norma dell'art. 55 c.p.p., la polizia giudiziaria svolge ogni indagine e attività disposta o delegata:;dall'Autorità giudiziaria.;dal Ministro della Difesa.;dal Prefetto territorialmente competente.;dal Comandante territorialmente competente.
63;Viste le disposizioni di cui all'art. 59 c.p.p., l'ufficiale preposto ai servizi di polizia giudiziaria è responsabile verso:;il procuratore della Repubblica presso il tribunale dove ha sede il servizio dell'attività di polizia giudiziaria svolta da lui stesso e dal personale dipendente.;il procuratore generale presso la Corte d'appello dove ha sede il servizio dell'attività di polizia giudiziaria svolta da lui stesso e dal personale dipendente.;il procuratore generale presso la Corte Suprema di Cassazione.;il magistrato di sorveglianza presso il tribunale dove ha sede il servizio dell'attività di polizia giudiziaria svolta da lui stesso e dal personale dipendente.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
64;Cosa è l'appello incidentale, in base agli articoli del c.p.p.?;È quello proposto dalla parte non appellante, ma che era legittimata ad impugnare in via principale, entro 15 giorni decorrenti dalla comunicazione o notificazione dell'appello principale, proposto da altra parte.;È quello proposto dalla parte non appellante, perché non legittimata ad impugnare in via principale, entro 15 giorni decorrenti dalla comunicazione o notificazione dell'appello principale, proposto da altra parte.;È quello proposto dalla parte non appellante, perché non legittimata ad impugnare in via principale, entro 7 giorni decorrenti dalla comunicazione o notificazione dell'appello principale, proposto da altra parte.;È quello proposto dalla parte non appellante, ma che era legittimata ad impugnare in via principale, entro 7 giorni decorrenti dalla comunicazione o notificazione dell'appello principale, proposto da altra parte.
65;Chi tra i seguenti soggetti, secondo le disposizioni del c.p.p., assume la qualità di imputato?;La persona alla quale è attribuito il reato nella richiesta di rinvio a giudizio del Pubblico Ministero.;La persona nei cui confronti la Polizia Giudiziaria invia al Pubblico Ministero una notizia di reato.;La persona che assiste al compimento di un reato.;La persona nei cui confronti è stata emessa una sentenza definitiva di condanna, notificata.
66;Viste le disposizioni del c.p.p. in materia di mezzi di ricerca della prova, entro quale termine, successivamente alla trasmissione del verbale di polizia giudiziaria, il pubblico ministero, se ne ricorrono i presupposti, convalida la perquisizione?;Quarantotto ore.;Novantasei ore.;Ventiquattro ore.;Settantadue ore.
67;Quale dei seguenti non rappresenta un caso di inammissibilità dell'impugnazione?;L’impugnazione è inammissibile quando è proposta dal pubblico ministero.;L’impugnazione è inammissibile quando vi è rinuncia all’impugnazione.;L’impugnazione è inammissibile quando il provvedimento non è impugnabile.;L’impugnazione è inammissibile quando è proposta da chi non è legittimato o non ha interesse.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
68;La rinuncia all'impugnazione è causa di inammissibilità dell'impugnazione stessa?;Si, lo prevede espressamente l'art. 591 del c.p.p.;No, il diritto all'impugnazione è inderogabile, pertanto l'eventuale rinuncia è sempre revocabile.;Si, ad eccezione del caso in cui la rinuncia incida su libertà fondamentali costituzionalmente garantite.;No, lo prevede espressamente l'art. 591 del c.p.p..
69;Viste le disposizioni del c.p.p., come viene definito il documento ove la P.G. annota, secondo le modalità ritenute idonee ai fini delle indagini, anche sommariamente, tutte le attività svolte, comprese quelle dirette all'individuazione delle fonti di prova?;Verbale.;Relazione.;Rapporto.;Istanza.
70;Per quanto concerne le attività di accertamento urgente sui luoghi, sulle cose e sulle persone da parte degli ufficiali e agenti di polizia giudiziaria, viste le disposizioni del c.p.p., il difensore della persona nei cui confronti vengono svolte le indagini:;ha facoltà di assistere, senza diritto di essere preventivamente avvisato.;deve essere preventivamente avvisato in quanto obbligato ad assistere.;è obbligato ad assistere, senza diritto di essere preventivamente avvisato dalla polizia giudiziaria.;non ha alcuna facoltà di assistere.
71;A norma delle disposizioni del c.p.p. relative alle attività a iniziativa della polizia giudiziaria, entro quale termine, questa, deve trasmettere al pubblico ministero del luogo dove la perquisizione è stata eseguita il verbale delle operazioni compiute?;Quarantotto ore.;Ventiquattro ore.;Novantasei ore.;Settantadue ore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
72;Viste le disposizioni del c.p.p. in materia di attività a iniziativa della polizia giudiziaria, le sommarie informazioni dalla persona nei cui confronti vengono svolte le indagini sono assunte:;con la necessaria assistenza del difensore, al quale la polizia giudiziaria dà tempestivo avviso.;senza la necessaria assistenza del difensore.;con la necessaria assistenza di un perito.;con la necessaria assistenza di un difensore d'ufficio, al quale la polizia giudiziaria dà tempestivo avviso.
73;Ai sensi dell'art. 348 c.p.p., la polizia giudiziaria svolge un'attività di iniziativa in senso stretto (o autonoma) che consiste nel:;tutte le altre risposte sono esatte.;raccogliere ogni elemento utile alla ricostruzione del fatto e alla individuazione del colpevole.;ricercare le persone in grado di riferire su circostanze rilevanti per la ricostruzione dei fatti.;ricerca delle cose e delle tracce pertinenti al reato nonché alla conservazione di esse e dello stato dei luoghi.
74;Viste le disposizioni del c.p.p. in merito alle attività a iniziativa della polizia giudiziaria, una volta ricevuta una notizia di reato, per la polizia giudiziaria:;scatta l'obbligo di informativa per il pubblico ministero.;scatta l'obbligo di informativa per il magistrato di sorveglianza.;scatta l'obbligo di informare l'Ufficiale competente.;scatta l'obbligo di informare il Prefetto territorialmente competente.
75;È ammesso l'arresto ad opera di un privato?;Sì, l'arresto in flagranza può essere effettuato da ogni persona se il delitto è procedibile d'ufficio e sono presenti i requisiti dell'arresto obbligatorio per la polizia.;Sì, sempre, anche nel caso in cui tenuto conto delle circostanze del fatto, appare che questo è stato compiuto nell'adempimento di un dovere o nell'esercizio di una facoltà legittima.;No, in nessun caso, l'arresto è effettuabile dai soli corpi di polizia.;No, ad eccezione del caso in cui le cose costituenti il corpo del reato non siano di proprietà del privato che effettua l'arresto in flagranza.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
76;Il privato che ha avuto notizia di un reato perseguibile d’ufficio ha l'obbligo di denunciarlo?;Né ha facoltà, salvo i casi in cui, per legge, la denuncia è obbligatoria.;Deve farne denuncia in ogni caso e senza ritardo.;La denuncia è sempre e solo facoltativa essendo rimessa al dovere civico della singola persona.;Sì, sempre, ad eccezione del caso in cui si tratti del soggetto passivo del reato.
77;La parte che non ha proposto impugnazione può proporre, in conformità all'art. 595 c.p.p., appello incidentale entro:;quindici giorni da quello in cui ha ricevuto la comunicazione o la notificazione.;dieci giorni da quello in cui ha ricevuto la comunicazione o la notificazione.;trenta giorni da quello in cui ha ricevuto la comunicazione o la notificazione.;venti giorni da quello in cui ha ricevuto la comunicazione o la notificazione.
78;Quale delle seguenti affermazioni, viste le disposizioni concernenti l'obbligo di riferire la notizia di reato di cui al c.p.p., è vera?;Acquisita la notizia di reato, la polizia giudiziaria, senza ritardo, riferisce al pubblico ministero, per iscritto, gli elementi essenziali del fatto e gli altri elementi sino ad allora raccolti.;Acquisita la notizia di reato, la polizia giudiziaria, senza ritardo, riferisce al pubblico ministero, anche oralmente, gli elementi essenziali del fatto e gli altri elementi sino ad allora raccolti.;Acquisita la notizia di reato, la polizia giudiziaria, entro dodici ore, riferisce al pubblico ministero, per iscritto, gli elementi essenziali del fatto e gli altri elementi sino ad allora raccolti.;Acquisita la notizia di reato, la polizia giudiziaria, senza ritardo, riferisce al magistrato di sorveglianza, per iscritto, gli elementi essenziali del fatto e gli altri elementi sino ad allora raccolti.
79;Agli agenti di polizia municipale la qualifica di agente di polizia giudiziaria, secondo le norme del c.p.p., viene assegnata da:;dalla norma prevista dall'art. 57 c.p.p.;dal Sindaco.;dal Prefetto.;dal Questore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
80;Il verbale di perquisizione che la polizia giudiziaria ha eseguito d'iniziativa, ai sensi del c.p.p., è trasmesso:;al p.m. del luogo dove la perquisizione è stata eseguita.;al p.m. competente territorialmente per il reato cui s'indaga.;al p.m. da cui dipende la sezione di p.r. operante.;al Procuratore Generale del distretto in cui la polizia giudiziaria ha operato.
81;Quale dei seguenti atti, in base all'art. 380 c.p.p., può essere compiuto dagli ufficiali ed agenti di polizia giudiziaria di propria iniziativa?;Arresto di chiunque è colto in flagranza di un delitto non colposo tentato per il quale la legge stabilisce l'ergastolo.;Interrogatori.;Decreto di sequestro presso banche.;Estrazione di copia degli atti e dei documenti sequestrati, in possesso dell'autorità giudiziaria.
82;A norma del Codice di Procedura Penale, quali sono i soggetti abilitati a ricevere la denuncia di un reato perseguibile d’ufficio?;Il Pubblico Ministero e gli Ufficiali di Polizia Giudiziaria.;Solo gli Agenti e gli Ufficiali di Polizia Giudiziaria.;Solo il Pubblico Ministero.;Il Pubblico Ministero in ogni caso, se la denuncia proviene da un Pubblico Ufficiale, od anche un Ufficiale di Polizia Giudiziaria, se la denuncia è fatta da privati.
83;La c. d. informativa di reato è la notizia di reato che la Polizia giudiziaria ha l'obbligo, sanzionato penalmente, di inviare al pubblico ministero:;tempestivamente.;entro 48 ore.;entro 72 ore.;entro 24 ore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
84;L’indagato in custodia cautelare ha il diritto, secondo il c.p.p., di conferire con il difensore:;fin dall’inizio dell’esecuzione della misura, purché non ricorra il caso della dilazione per un tempo non superiore a giorni cinque, disposta dal giudice per le indagini preliminari.;fin dall’inizio dell’esecuzione della misura, sempre.;fin dall’inizio dell’esecuzione della misura se non trattasi di reati di stampo mafioso.;non prima di dieci giorni.
85;In cosa consiste, secondo l'art. 282 c.p.p., l’obbligo di presentazione alla Polizia Giudiziaria?;L’obbligo per l’imputato di presentarsi presso un determinato ufficio di Polizia Giudiziaria alle scadenze prestabilite.;L’obbligo per l’imputato di presentarsi due volte al giorno presso un qualunque ufficio di Polizia Giudiziaria.;L’obbligo per l’imputato di presentarsi ogni giorno presso un qualunque ufficio di Polizia Giudiziaria.;L’obbligo per l’imputato di presentarsi ogni sera presso un determinato ufficio di Polizia Giudiziaria.
86;Il verbale di vane ricerche, in conformità all'art- 295 c.p.p., consiste:;nel verbale redatto in caso di mancato rintraccio del destinatario della custodia cautelare.;nel verbale redatto dal cancelliere in caso di smarrimento di documenti.;nel verbale con cui il P.M. chiude le indagini preliminari risultate infruttuose.;nel verbale con cui la P.G. dichiara di non aver rinvenuto il corpo del reato a seguito di perquisizione.
87;Gli ufficiali e gli agenti di polizia giudiziaria possono deporre, in base all'art. 195 c.p.p., sul contenuto delle dichiarazioni rese loro dai testimoni:;ma solo nei casi indicati espressamente.;senza limitazioni.;ma solo in sede di confronto di teste.;ma solo nell'incidente probatorio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
88;Il pubblico ministero modifica l’imputazione e procede alla relativa contestazione, in relazione alle norme del c.p.p.:;se nel corso dell’istruzione dibattimentale il fatto risulta diverso da come è descritto nel decreto che dispone il giudizio, e non appartiene alla competenza di un giudice superiore.;se nel corso dell’istruzione dibattimentale il fatto risulta diverso da come è descritto nel decreto che dispone il giudizio, anche se appartiene alla competenza di un giudice superiore.;su istanza della parte offesa.;su istanza dell'imputato.
89;La polizia giudiziaria può acquisire sommarie informazioni dalla persona sottoposta alle indagini che non si trovi in stato di arresto o di fermo. La presenza del difensore, ai fini dell'espletamento dell'atto in base alle norme del c.p.p., è:;necessaria.;consentita.;vietata.;obbligatoria, salvo che il pubblico ministero escluda per gravi motivi, con decreto motivato.
90;L'organo titolare dell’accusa nell’ambito del processo penale, secondo le disposizioni del c.p.p., è:;il Pubblico Ministero.;la Polizia Giudiziaria.;il Giudice delle indagini preliminari.;il Pubblico Ministero ed il Giudice delle indagini preliminari.
91;I documenti anonimi, in conformità alle norme del c.p.p., possono essere acquisiti o utilizzati nel processo penale?;No, tranne se costituiscono corpo di reato o provengano dall’imputato.;Sì, ma solo se ammessi dal Giudice.;No, in nessun caso.;Sì, salvo le eccezioni previste dalla legge.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
92;I Pubblici Ufficiali che hanno notizia di un reato, secondo le disposizioni del c.p.p., sono sempre tenuti a fare denuncia:;ma solo per reati perseguibili d’ufficio.;sempre, tranne che sia ignota la persona che ha commesso il reato.;ma solo quelli appartenenti alla Polizia Giudiziaria.;sempre, senza eccezioni.
93;Nel processo penale, l'onere della prova in senso formale previsto dal c.p.p. impone:;alle parti il dovere di chiedere al giudice l'ammissione del mezzo di prova.;alle parti l'onere di convincere il giudice dell'esistenza del fatto affermato.;alla sola parte civile e all'imputato il dovere di chiedere al giudice l'ammissione del mezzo di prova, in quanto quelle del PM vengono automaticamente assunte al fascicolo del dibattimento.;alle parti l'onere di convincere il giudice dell'esistenza del fatto affermato.
94;La Polizia Giudiziaria, nella flagranza di reato perseguibile a querela di parte, secondo le disposizioni del c.p.p.:;procede solo se viene proposta la querela, anche oralmente.;non può procedere in nessun caso.;procede solo fino a quando la vittima del reato non sia in grado di intendere e di volere.;può procedere solo dopo che la querela è stata verbalizzata.
95;La Polizia Giudiziaria, in base alle norme del c.p.p., può procedere alle sommarie informazioni assunte dall’indagato?;sì, se l’indagato non si trova in stato di fermo o arresto.;sì, ma solo previa autorizzazione del Pubblico Ministero.;sì, in ogni caso.;no, in ogni caso.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
96;"Ai sensi delle disposizioni del c.p.p., la Polizia Giudiziaria trasmette al Pubblico Ministero il verbale di una perquisizione effettuata d’iniziativa;";non oltre le 48 ore.;entro 24 ore.;immediatamente.;entro 5 giorni.
97;Il Codice di Procedura Penale per identificare le tracce del reato nel luogo in cui esso è avvenuto prevede:;l'ispezione.;la perquisizione.;il sopralluogo.;la perizia.
98;Il fermo di Polizia Giudiziaria, previsto dal c.p.p., è soggetto a convalida:;sempre, da parte del Giudice delle indagini preliminari.;da parte del Pubblico Ministero, salvo che si tratti di fermo in flagranza di reato.;ma solo al momento in cui il fermo viene trasformato in arresto.;da parte del Giudice delle indagini preliminari, salvo che si tratti di fermo in flagranza di reato.
99;A norma del Codice di Procedura Penale, è necessaria la presenza del difensore per assumere sommarie informazioni dall’indagato?;Sì, in ogni caso.;Il difensore ha diritto al preavviso, ma la presenza non è necessaria.;No, il difensore non ha diritto di assistere, tranne i casi espressamente previsti dalla legge.;È necessaria solo se l’indagato si trovi in stato di arresto o di fermo.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
100;Ai sensi del c.p.p., viene disposto il sequestro preventivo:;quando vi sia il pericolo che la libera disponibilità della cosa pertinente al reato possa aggravarne le conseguenze.;quando vi sia la necessità di assicurare le fonti di prova di un reato.;quando lo ritiene opportuno l’Autorità Provinciale di Pubblica sicurezza per prevenire pericoli per l’ordine pubblico.;quando, non essendo presente un Ufficiale di Polizia Giudiziaria, gli Agenti preferiscono conservare elementi che provino il compimento di un reato.
101;Quali sono le funzioni della Polizia Giudiziaria, secondo le norme del c.p.p.?;Prendere notizia dei reati anche di iniziativa, impedire che vengano portati a conseguenze ulteriori, ricercare gli autori dei reati, assicurare le fonti di prova.;Svolgere esclusivamente l’attività delegata dal giudice del dibattimento.;Svolgere esclusivamente indagini per l’accertamento delle violazioni amministrative.;Esclusivamente prendere notizia dei reati e riferirne con immediatezza al giudice del dibattimento.
102;Dopo aver trasmesso la comunicazione di una notizia di reato, ai sensi dell'art. 348 c.p.p., la Polizia Giudiziaria:;svolge attività anche d’iniziativa informandone prontamente il Pubblico Ministero.;può svolgere esclusivamente attività delegata dal Pubblico Ministero.;deve attendere le disposizioni del Prefetto.;procede a redigere gli atti di sequestro alla base della notizia di reato ai fini della loro convalida.
103;Quale, tra i seguenti, è presupposto necessario per il sequestro penale probatorio d’iniziativa della Polizia Giudiziaria?;Il pericolo che le cose o le tracce pertinenti al reato si alterino o si modifichino o si disperdano.;Che vi sia la flagranza del reato.;Che vi sia la presenza del difensore.;Il pericolo che le cose o le tracce pertinenti al reato si alterino o si modifichino o si disperdano e che vi sia la presenza del difensore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
104;A norma del c.p.p., è necessaria la presenza del difensore per effettuare un sequestro probatorio d’iniziativa della Polizia Giudiziaria?;No, è sempre facoltativa.;Sì, è sempre obbligatoria.;No, è vietata.;È obbligatoria solo nei casi espressamente previsti dalla legge.
105;L’azione penale, in base alle disposizioni contenute nel c.p.p., può esercitarsi con:;presentazione dell’imputato per il giudizio direttissimo.;richiesta di misura cautelare.;richiesta di proroga del termine delle indagini preliminari.;richiesta d'archiviazione.
106;La perquisizione domiciliare operata d’iniziativa della Polizia Giudiziaria, ai sensi dell'art. 251 c.p.p., può essere effettuata anche di notte?;Sì, quando il ritardo potrebbe pregiudicarne l’esito.;No, in nessun caso.;Sì, in ogni caso.;Sì, ma solo previa autorizzazione del Pubblico Ministero.
107;A norma del Codice di Procedura Penale, la Polizia Giudiziaria può procedere ad accertamenti e rilievi sulle persone?;Sì, anche di propria iniziativa, purché diversi dall’ispezione personale e nei casi previsti dalla legge.;Sì, può procedere a tutti gli accertamenti e rilievi sulle persone, ma solo su delega del Pubblico Ministero.;Sì, solo su delega del Pubblico Ministero, purché diversi dall’ispezione personale.;Sì, anche di propria iniziativa, ad eccezione delle ispezioni personali e locali o sulle cose, per le quali è sempre necessaria la preventiva autorizzazione del Pubblico Ministero.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
108;La persona colpita da ordinanza di custodia cautelare in carcere deve essere interrogata dal giudice secondo le norme del c.p.p.;immediatamente o in ogni modo non oltre cinque giorni dall’inizio dell’esecuzione della custodia, salvo il caso in cui essa sia assolutamente impedita.;entro 96 ore dall’inizio dell’esecuzione della custodia.;entro 48 ore dall’inizio dell’esecuzione della custodia, salvi i casi d'assoluto impedimento.;non oltre i cinque giorni dall’inizio della custodia, salvo il caso in cui il difensore sia impedito.
109;Nel giudizio direttissimo, ai sensi delle norme del c.p.p., l'imputato può chiedere un termine per preparare la difesa non superiore:;10 giorni.;7 giorni.;8 giorni.;12 giorni.
110;All'udienza di convalida dell'arresto occorre necessariamente che partecipino:;il difensore dell’arrestato, mentre il p.m. ha facoltà di partecipare.;il p.m., il difensore dell’arrestato, l’arrestato stesso il quale non può rinunciare.;sia il p.m., che il difensore dell’arrestato.;il solo p.m. e l’arrestato.
111;A norma del c.p.p., il verbale del sequestro operato d’iniziativa della Polizia Giudiziaria deve essere trasmesso:;entro 48 ore al Pubblico Ministero per la convalida.;entro 48 ore al Giudice delle indagini preliminari per la convalida.;entro 24 ore al Pubblico Ministero, ma non necessita di convalida.;entro 24 ore al Pubblico Ministero per la convalida.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
112;Nel diritto processuale penale, il principio di correlazione tra accusa e sentenza assume, ai sensi dell'art. 521 c.p.p., la seguente connotazione:;un soggetto può essere giudicato solo sul fatto oggetto di una specifica imputazione e non su un fatto diverso.;un soggetto può essere giudicato non solo sul fatto oggetto della specifica imputazione ma anche su tutte le altre circostanze allo stesso connesse emerse durante l'istruzione dibattimentale.;un soggetto può essere giudicato sul fatto oggetto della specifica imputazione e su tutti i reati strettamente legati a quello per cui si procede.;un soggetto può essere giudicato sul fatto oggetto della specifica imputazione e su tutti i reati proseguibili d'ufficio.
113;Il referto, previsto dall'art. 334 c.p.p., è:;un mezzo tipico di notizia di reato,;la risultanza d'ogni indagine della polizia giudiziaria.;la conclusione cui perviene il perito.;il corpo di reato presentato al P.M.
114;Il termine delle intercettazioni autorizzate dal giudice per le indagini preliminari, previsto dal c.p.p., può essere prorogato?;Sì, può essere prorogato per periodi successivi di 15 giorni.;No, mai.;Sì, può essere prorogato per non più di una volta.;può essere prorogato ma solo per reati di stampo mafioso.
115;La P.G., quando sono stati compiuti atti per i quali è prevista l’assistenza del difensore della persona nei cui confronti vengono svolte le indagini, entro quanto dà comunicazione secondo il c.p.p. al P.M. della notizia di reato?;Al più tardi entro 48 ore dal compimento degli atti.;Entro 96 ore.;Immediatamente dopo il compimento degli atti.;Al più tardi entro 24 ore dalla redazione dell’informativa.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
116;Ai sensi del c.p.p., il pubblico ministero può delegare alla P.G.:;tutte le attività d’indagine, tranne alcuni atti a lui riservati.;solo atti non urgenti.;qualsiasi attività d’indagine.;atti che siano di competenza degli ufficiali di P.G.
117;Il reato permanente è considerato ancora in stato di flagranza, ai sensi dell'art. 382 c.p.p.:;fino a quando non è cessata la permanenza.;fino a quando dura la condotta.;solo al momento in cui inizia l’evento.;fino a 10 giorni dall’inizio della condotta
118;Nella fase del dibattimento la disciplina dell'udienza compete, secondo le norme del c.p.p.:;al presidente e, in sua assenza, al P.M.;solo alla polizia giudiziaria presente in aula.;al presidente e, in sua assenza alla polizia giudiziaria.;al p.m. o per sua delega, ad ufficiali di polizia giudiziaria.
119;L’arrestato o il fermato per errore di persona può essere posto in libertà, secondo il c.p.p.:;dall’ufficiale di p.r. prima dell’intervento del p.m.;dal G.I.P..;solo dal p.m. o dal Procuratore Generale.;dalla polizia giudiziaria in genere.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
120;Il divieto o l'obbligo di dimora, ai sensi delle norme dell'art. 283 c.p.p., costituisce:;una misura cautelare personale coercitiva.;una misura di sicurezza.;una pena accessoria.;una pena principale per i condannati senza fissa dimora.
121;In caso di arresto o di fermo, l'avviso ai familiari dell'arrestato o del fermato:;è eseguito dalla p.r. previo consenso dell’arrestato o del fermato.;è eseguito dal pubblico ministero.;non è consentito.;è sempre eseguito immediatamente dal Direttore della casa circondariale.
122;In quali casi le parti di un processo penale possono chiedere l'applicazione della pena ai sensi dell'art. 444 c.p.p.?;Quando, tenuto conto delle circostanze e diminuita fino ad un terzo, la pena detentiva non supera i due anni di reclusione o di arresto, soli o congiunti a pena pecuniaria.;quando la pena edittale prevista per il reato commesso non supera i due anni di reclusione o di arresto, soli o congiunti a pena pecuniaria.;Quando, tenuto conto delle circostanze e diminuita fino ad un terzo, la pena detentiva non supera i due anni di reclusione o i tre di arresto, soli o congiunti a pena pecuniaria.;Quando, diminuita fino ad un terzo la pena edittale, la pena detentiva che ne consegue non supera i tre anni, se da sola, o non supera i due anni se congiunta a pena pecuniaria.
123;Deputato, secondo le norme del c.p.p., a pronunciare il riconoscimento ai fini dell’esecuzione di una sentenza straniera è:;la Corte di appello.;il Ministro della Giustizia.;il Giudice di pace penale.;il Tribunale monocratico del capoluogo di regione competente per territorio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
124;Nei confronti di quali soggetti è possibile esercitare, nel processo penale secondo le norme del c.p.p., l'azione civile per la restituzione o il risarcimento del danno?;nei confronti dell'imputato e del responsabile civile.;nei soli confronti dell'imputato.;nei confronti dell'imputato o dei suoi successori universali.;nei confronti dell'imputato, del responsabile civile e dei rispettivi successori universali.
125;L'azione civile in sede penale, secondo le previsioni del c.p.p., può essere esercitata dal P.M.?;In caso di assoluta urgenza, l’azione civile nell’interesse del danneggiato incapace per infermità di mente o per età minore può essere esercitata dal Pubblico Ministero finché non subentri colui al quale spetta la rappresentanza o l'assistenza o il curatore speciale.;No, assolutamente.;Sì, ma solo su espressa istanza del danneggiato dal reato che, per legittimo impedimento, si trovi nell'impossibilità di costituirsi parte civile entro i termini fissati dalla legge.;Sì, in ogni caso il Pubblico Ministero può esercitare l'azione civile nell'interesse del danneggiato che sia infermo di mente o di minore età.
126;Ai sensi del c.p.p., è ammessa la ricusazione del P.M.?;No.;Sì, per gravi ragioni di convenienza.;Sì, ma solo se il magistrato esercita le funzioni requirenti in dibattimento.;Sì, sempre che sussistano i presupposti della rimessione del processo.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
127;Alla persona sottoposta alle indagini si estendono:;tanto i diritti quanto le situazioni passive di cui è titolare l'imputato, salvo che non sia diversamente disposto.;i diritti riconosciuti all'imputato, con esclusione di ogni situazione soggettiva passiva.;solo le situazioni passive di cui è titolare l'imputato, in quanto non possono riconoscersi diritti finché non si acquisti la qualità formale di imputato.;tutti i diritti dell'imputato, ad eccezione del diritto di non rispondere.
128;La parte civile è, in base alle norme del c.p.p.:;colui il quale, avendo subìto un danno dal reato, esercita l'azione civile nel processo penale allo scopo di chiederne il risarcimento.;la persona offesa dal reato in quanto tale.;colui che è obbligato al pagamento della pena pecuniaria, in luogo dell'imputato, nell'ipotesi di sua insolvenza.;l'ente rappresentativo degli interessi lesi dal reato che intervenga nel corso delle indagini preliminari.
129;Chi intende costituirsi parte civile, con riferimento al c.p.p., può farlo:;per l'udienza preliminare e fino all'accertamento della costituzione delle parti nel dibattimento di primo grado.;nel procedimento per decreto, e sempre che l'imputato non abbia proposto opposizione.;non prima dell'accertamento della costituzione delle parti nel giudizio di Cassazione.;nel procedimento di ricusazione.
